ABBREVIATION,TERM,DEFINITION ,ARTICLE ID 
HD,head depth,at the highest point dorsoventrally,Ribeiro_Junior 2020 Alopoglossus theodorusi
HL,head length,from the anterior margin of tympanic aperture to the tip of snout,Ribeiro_Junior 2020 Alopoglossus theodorusi
FL,forelimb length,,Ribeiro_Junior 2020 Alopoglossus theodorusi
HLL ,hind limb length,,Ribeiro_Junior 2020 Alopoglossus theodorusi
HW,head width,at the widest point,Ribeiro_Junior 2020 Alopoglossus theodorusi
NL,neck length,from the posterior margin of the tympanic aperture to the anterior margin of the forelimb,Ribeiro_Junior 2020 Alopoglossus theodorusi
ShL,shank length,,Ribeiro_Junior 2020 Alopoglossus theodorusi
TL,tail length,,Ribeiro_Junior 2020 Alopoglossus theodorusi
SVL,snout - vent length,,Torres-Carvajal 2021 new Microtegu
TL,tail length,,Torres-Carvajal 2021 new Microtegu
HL,head length,from anterior border of tympanum to tip of snout,Torres-Carvajal 2021 new Microtegu
HW,maximum head width,,Torres-Carvajal 2021 new Microtegu
HD,maximum head depth,,Torres-Carvajal 2021 new Microtegu
EN,eye–snout distance,from anterior corner of eye to tip of snout,Torres-Carvajal 2021 new Microtegu
FLL,forelimb length,from limb insertion to tip of fourth finger,Torres-Carvajal 2021 new Microtegu
HLL,hindlimb length,from limb insertion to tip of fourth toe,Torres-Carvajal 2021 new Microtegu
AGD,axilla–groin distance,,Torres-Carvajal 2021 new Microtegu
XXX,loreal,present or absent ,Weinell 2020 Calamaria alcalai
XXX,preocular scale,present or absent,Weinell 2020 Calamaria alcalai
XXX,subcaudal scales,divided or undivided,Weinell 2020 Calamaria alcalai
XXX,precloacal scale,divided or undivided,Weinell 2020 Calamaria alcalai
XXX,nasal scale,"completely divided, incompletely divided, or undivided",Weinell 2020 Calamaria alcalai
XXX,infralabial mental,first infralabials medially in contact or not in contact and separated by mental scale,Weinell 2020 Calamaria alcalai
XXX,infralabial-chin shield,number of infralabial pairs in contact with anterior chin shields,Weinell 2020 Calamaria alcalai
XXX,internasal-prefrontal,internasals and prefrontals fused or not fused to each other,Weinell 2020 Calamaria alcalai
XXX,parietal scales,pair of parietals absent or present,Weinell 2020 Calamaria alcalai
XXX,anterior chin shield,pair medially in contact or not,Weinell 2020 Calamaria alcalai
XXX,posterior chin shield,pair medially in contact or not,Weinell 2020 Calamaria alcalai
XXX,type of dorsal and ventral body scales,smooth or keeled,Weinell 2020 Calamaria alcalai
XXX,apical pits,present or absent on dorsal scales,Weinell 2020 Calamaria alcalai
XXX,arrangement of longitudinal dorsal body scale rows,in horizontal or oblique rows,Weinell 2020 Calamaria alcalai
XXX,vertebral body scales,enlarged or not relative to other dorsal body scales,Weinell 2020 Calamaria alcalai
XXX,vertebrocaudal scales,enlarged or not relative to other dorsocaudal scales,Weinell 2020 Calamaria alcalai
XXX,reduction of dorsal body scale rows,present or absent,Weinell 2020 Calamaria alcalai
XXX,dorsocaudal scale ,,Weinell 2020 Calamaria alcalai
XXX,supralabial scales ,,Weinell 2020 Calamaria alcalai
XXX,nasal scales ,,Weinell 2020 Calamaria alcalai
XXX,prefrontal scales ,,Weinell 2020 Calamaria alcalai
XXX,preocular scale,,Weinell 2020 Calamaria alcalai
XXX,orbit scales ,,Weinell 2020 Calamaria alcalai
XXX,postocular scales ,,Weinell 2020 Calamaria alcalai
XXX,parietal scales,,Weinell 2020 Calamaria alcalai
XXX,paraparietal scales.,,Weinell 2020 Calamaria alcalai
SVL ,snout-vent length,,Zhang 2021 Cyrtodactylus Daweishan
TL,tail length,,Zhang 2021 Cyrtodactylus Daweishan
HL,head length,,Zhang 2021 Cyrtodactylus Daweishan
HW,head width,,Zhang 2021 Cyrtodactylus Daweishan
HH,head height,from top of skull to underside of jaws;,Zhang 2021 Cyrtodactylus Daweishan
OD,greatest diameter of orbits,,Zhang 2021 Cyrtodactylus Daweishan
SE,snout to eye distance,from tip of snout to anterior corner of eye;,Zhang 2021 Cyrtodactylus Daweishan
EE,eye to ear distance,from anterior edge of ear opening to posterior corner of eye;,Zhang 2021 Cyrtodactylus Daweishan
AG,axilla to groin distance,,Zhang 2021 Cyrtodactylus Daweishan
SL,supralabials,,Zhang 2021 Cyrtodactylus Daweishan
IL,infralabials,,Zhang 2021 Cyrtodactylus Daweishan
XXX,"nasal scales surrounding nare, from rostral to labial","excluding the rostral and labials, i.e. nasorostral,",Zhang 2021 Cyrtodactylus Daweishan
N,"supranasal, postnasals",,Zhang 2021 Cyrtodactylus Daweishan
GST,granular scales surrounding dorsal tubercles,,Zhang 2021 Cyrtodactylus Daweishan
V,ventral scales,within longitudinal rows at midbody,Zhang 2021 Cyrtodactylus Daweishan
DTR,tubercles at dorsum of midbody,,Zhang 2021 Cyrtodactylus Daweishan
MS,scales around midbody,,Zhang 2021 Cyrtodactylus Daweishan
OS,number of ocular scales around ocular area,,Zhang 2021 Cyrtodactylus Daweishan
SR5,scale rows between fifth supralabials,,Zhang 2021 Cyrtodactylus Daweishan
PP,numbers of continuous precloacal-femoral pores,females with pitted scales,Zhang 2021 Cyrtodactylus Daweishan
PAT ,postcloacal tubercles,,Zhang 2021 Cyrtodactylus Daweishan
LF4,subdigital lamellae under the fourth finger,,Zhang 2021 Cyrtodactylus Daweishan
LT4,subdigital lamellae under the fourth toe,,Zhang 2021 Cyrtodactylus Daweishan
SVL,snout-vent length,,Ubalde 2021 Liolaemus Peru
LEI,length of the interparietal,,Ubalde 2021 Liolaemus Peru
AC,head width,,Ubalde 2021 Liolaemus Peru
HC,head height,,Ubalde 2021 Liolaemus Peru
hTy,auditory meatus height,,Ubalde 2021 Liolaemus Peru
aTy,auditory meatus width,,Ubalde 2021 Liolaemus Peru
LC,length of the head,,Ubalde 2021 Liolaemus Peru
ACC,neck width,,Ubalde 2021 Liolaemus Peru
LH,length of mthe hand,,Ubalde 2021 Liolaemus Peru
AHU,arm width,,Ubalde 2021 Liolaemus Peru
LAR,length of the radius,,Ubalde 2021 Liolaemus Peru
LB,length of the arm,,Ubalde 2021 Liolaemus Peru
M,length of the thigh,,Ubalde 2021 Liolaemus Peru
T,length of the tibia,,Ubalde 2021 Liolaemus Peru
TL,length of the trunk,,Ubalde 2021 Liolaemus Peru
AL,body width,,Ubalde 2021 Liolaemus Peru
WTB,width of the base of the tail,,Ubalde 2021 Liolaemus Peru
SVL,Snout–vent length,from tip of snout to cloaca,Wagner 2021 Acanthocercus margaritae
TL,Length of tail,from tip of tail to cloaca,Wagner 2021 Acanthocercus margaritae
TOT,Total length,,Wagner 2021 Acanthocercus margaritae
TW,Tail width,maximum tail width at the tail base,Wagner 2021 Acanthocercus margaritae
TH,Tail height,maximum tail height at the tail base,Wagner 2021 Acanthocercus margaritae
HL,Head length,from tip of snout to angle of jaw,Wagner 2021 Acanthocercus margaritae
HW,Head width,maximum head width at the angle of jaw,Wagner 2021 Acanthocercus margaritae
HH,Head height,maximum head height at angle of jaw,Wagner 2021 Acanthocercus margaritae
SEL,Snout–eye length,from snout tip to anterior margin of eye,Wagner 2021 Acanthocercus margaritae
EEL,Eye–ear length,from posterior margin of the eye to anterior margin of ear,Wagner 2021 Acanthocercus margaritae
ER,Eye length diameter, maximum horizontal eye diameter,Wagner 2021 Acanthocercus margaritae
EAR,Ear length, maximum horizontal ear diameter,Wagner 2021 Acanthocercus margaritae
SAL,Snout–arm length,from snout to anterior insertion of forelimb,Wagner 2021 Acanthocercus margaritae
AGD,Axilla–groin distance,,Wagner 2021 Acanthocercus margaritae
HUL,Humerus length,,Wagner 2021 Acanthocercus margaritae
RUL,Radius-ulna length,,Wagner 2021 Acanthocercus margaritae
FL,Femur length,,Wagner 2021 Acanthocercus margaritae
TFL,Tibia-fibula length,,Wagner 2021 Acanthocercus margaritae
TOL,Length of 4th toe excluding the claw,,Wagner 2021 Acanthocercus margaritae
RPP,rows of precloacal pores,,Wagner 2021 Acanthocercus margaritae
PP,precloacal pores,,Wagner 2021 Acanthocercus margaritae
SL,supralabial scales,,Wagner 2021 Acanthocercus margaritae
IL,infralabial scales,,Wagner 2021 Acanthocercus margaritae
SO,scales on the canthus above the eye,,Wagner 2021 Acanthocercus margaritae
T,Temporal scales between eye and ear,,Wagner 2021 Acanthocercus margaritae
SaA,Anterior dorsal scale rows,counted transversely behind forelimbs,Wagner 2021 Acanthocercus margaritae
SaH,Posterior dorsal scale rows,counted transversely just at anterior insertion of hind limbs,Wagner 2021 Acanthocercus margaritae
SaM,Dorsal scale rows at midbody,counted transversely at midpoint between fore- and hind limbs,Wagner 2021 Acanthocercus margaritae
D,Dorsal scale numbers,counted longitudinally from shoulders to posterior margin of hind limbs,Wagner 2021 Acanthocercus margaritae
V,Ventral scale numbers,counted longitudinally from shoulders to cloaca,Wagner 2021 Acanthocercus margaritae
VFS,Vertebral scales large,same size or smaller than scales on flanks,Wagner 2021 Acanthocercus margaritae
DS,Dorsal scales homogeneous or heterogeneous,,Wagner 2021 Acanthocercus margaritae
EDS,Enlarged dorsal scales smooth," keeled, no enlarged scales",Wagner 2021 Acanthocercus margaritae
DMS,Dorsal matrix scales ,,Wagner 2021 Acanthocercus margaritae
FS,Flank scales smooth,"feebly keeled, keeled",Wagner 2021 Acanthocercus margaritae
VS,Ventral scales smooth,"feebly keeled, keeled",Wagner 2021 Acanthocercus margaritae
GS,Gular scales smooth,"feebly keeled, keeled",Wagner 2021 Acanthocercus margaritae
UTS,Upper tail scales smooth,"feebly keeled, keeled",Wagner 2021 Acanthocercus margaritae
LTS,Lower tail scales smooth,"feebly keeled, keeled",Wagner 2021 Acanthocercus margaritae
OTS,Outer tail scales thorn like,"not thorn like, strongly thorn like",Wagner 2021 Acanthocercus margaritae
PO,Pineal window visible,not visible,Wagner 2021 Acanthocercus margaritae
NS1,Nasal scale,on or below the canthus rostralis,Wagner 2021 Acanthocercus margaritae
NS2,Nasal scale,smooth or keeled,Wagner 2021 Acanthocercus margaritae
NS3,Nasal scale,round or pear-shaped,Wagner 2021 Acanthocercus margaritae
NS4,Nasal scale,flat or convex,Wagner 2021 Acanthocercus margaritae
ST,Scale tufts,"around the ear present, not present",Wagner 2021 Acanthocercus margaritae
SDL,Subdigital lamellae,"keeled, not keeled",Wagner 2021 Acanthocercus margaritae
SBT,Scales between last tail spine,,Wagner 2021 Acanthocercus margaritae
CV,No. of caudal vertebrae,,Wagner 2021 Acanthocercus margaritae
FV,No. of vertebrae of the tail filament,,Wagner 2021 Acanthocercus margaritae
CR,Caudal ribs absent or present,,Wagner 2021 Acanthocercus margaritae
AS,"annectans-type scale present, not present",,Wagner 2021 Acanthocercus margaritae
LT,"Longest toe 4th, equal, 3rd",,Wagner 2021 Acanthocercus margaritae
TC,Male throat colored ,"with a network, not with a network",Wagner 2021 Acanthocercus margaritae
AUS,Upper arms ,keeled,Wagner 2021 Acanthocercus margaritae
ED,horizontal eye diameter,,Sumontha 2021 Trimeresurus kuiburi
HD,maximum head depth,,Sumontha 2021 Trimeresurus kuiburi
HL,head length, from the tip of rostral to the posterior end of the jaw,Sumontha 2021 Trimeresurus kuiburi
HW,maximum head width,,Sumontha 2021 Trimeresurus kuiburi
SnL,snout length, from the tip of rostral to the anterior eye margins,Sumontha 2021 Trimeresurus kuiburi
SOL,supraocular length;,,Sumontha 2021 Trimeresurus kuiburi
SOW,supraocular width,,Sumontha 2021 Trimeresurus kuiburi
SVL,snout-vent length,,Sumontha 2021 Trimeresurus kuiburi
TaL,"tail length; TL, total length.",,Sumontha 2021 Trimeresurus kuiburi
A,anal plate(s),,Sumontha 2021 Trimeresurus kuiburi
ASR,anterior number of dorsal scale rows (at one HL behindhead),,Sumontha 2021 Trimeresurus kuiburi
IL,infralabial scales,,Sumontha 2021 Trimeresurus kuiburi
IOS,interorbital scales,counted along a row between the middle of supraocular scales,Sumontha 2021 Trimeresurus kuiburi
MSR,number of dorsal scale rows at midbody, at the level of the ventral plate corresponding to half of the total number of ventrals,Sumontha 2021 Trimeresurus kuiburi
PosOc,postocular scale(s),,Sumontha 2021 Trimeresurus kuiburi
PSR,posterior number of dorsal scale rows, at one HL before anal plate,Sumontha 2021 Trimeresurus kuiburi
PreV,number of preventrals ,"directly preceding the ventrals, unpaired, wider than long but not in contact on each side with the 1st dorsal scale row",Sumontha 2021 Trimeresurus kuiburi
SC,"subcaudal scales, not including the terminal, pointed scute",,Sumontha 2021 Trimeresurus kuiburi
SL,supralabial scales,,Sumontha 2021 Trimeresurus kuiburi
SRR,dorsal scale rows reduction,,Sumontha 2021 Trimeresurus kuiburi
V,ventral scales ,,Sumontha 2021 Trimeresurus kuiburi
DO,number of dorsal scale rows,,Trevine 2021 Thamnodynastes silvai
SV,snout-vent length,,Trevine 2021 Thamnodynastes silvai
Tl,tail length,,Trevine 2021 Thamnodynastes silvai
Hl,head length,,Trevine 2021 Thamnodynastes silvai
Ve,number of ventrals,,Trevine 2021 Thamnodynastes silvai
SC,subcaudals,,Trevine 2021 Thamnodynastes silvai
XXX,ventral stripes,,Trevine 2021 Thamnodynastes silvai
SVL,,,Riyanto 2021 Cyrtodactylus hamidyi
TailL,tail length,measured from vent to tip of tail),Riyanto 2021 Cyrtodactylus hamidyi
HL,head length,distance from tip of snout to posterior edge of retroarticular process of lower jaw,Riyanto 2021 Cyrtodactylus hamidyi
HW,head width,measured a straight line at angle of jaws,Riyanto 2021 Cyrtodactylus hamidyi
HH,head height,maximum height of head between occiput and throat,Riyanto 2021 Cyrtodactylus hamidyi
SL,snout length,measured from tip of snout to anterior most edge of orbit,Riyanto 2021 Cyrtodactylus hamidyi
EyeEar,eye to ear distance,measured from edge of orbit to anterior edge of ear opening,Riyanto 2021 Cyrtodactylus hamidyi
EarL,ear length,maximum length of ear opening,Riyanto 2021 Cyrtodactylus hamidyi
"OD,",orbit diameter,horizontal diameter of orbit,Riyanto 2021 Cyrtodactylus hamidyi
ArmL,forearm length,taken on dorsal surface of posterior margin of elbow while flexed at 90o to inflection of dorsally flexed wrist,Riyanto 2021 Cyrtodactylus hamidyi
AGL,axilla groin length,measured from axilla to groin,Riyanto 2021 Cyrtodactylus hamidyi
TibL,tibia length,measured on ventral surface from posterior surface from posterior surface of knee while flexed at 90o to base of the heel,Riyanto 2021 Cyrtodactylus hamidyi
SuL,supralabial scales,counted from largest scale immediately posterior to dorsal inflection of posterior portion of upper jaw to the rostral scales,Riyanto 2021 Cyrtodactylus hamidyi
InfL,infralabial scales,"number of labial scales of lower jaw, beginning with first scale bordering mental shield, ending with last enlarged scale bordering labial angle",Riyanto 2021 Cyrtodactylus hamidyi
EPFS,enlarged precloacofemoral scales,"number of enlarged precloacofemoral scales counted along lowest, pore-bearing row",Riyanto 2021 Cyrtodactylus hamidyi
DT,dorsal tubercles,number of longitudinal tubercle rows on dorsum at midbody between ventrolateral folds ,Riyanto 2021 Cyrtodactylus hamidyi
PVT,paravertebral tubercles,tubercles along paravertebral counted between postaxial margin of arm and pre-axial margin of leg,Riyanto 2021 Cyrtodactylus hamidyi
VS,ventral scale rows,"number of ventral scales at midbody, counted in one line between ventrolateral folds",Riyanto 2021 Cyrtodactylus hamidyi
SVL,Snout–vent length,,Shi 2021 Gloydius Qinghai
TL,tail length,,Shi 2021 Gloydius Qinghai
XXX,"total length (TTL; i.e., SVL + TL) ",,Shi 2021 Gloydius Qinghai
HL,head length,from the tip of snout to the posterior margin of mandible,Shi 2021 Gloydius Qinghai
HW,head width,the widest part of the head in dorsal view,Shi 2021 Gloydius Qinghai
HD,head depth,the deepest part of the head in lateral view,Shi 2021 Gloydius Qinghai
SL,snout length,from the tip of snout to the anterior margin of the eye,Shi 2021 Gloydius Qinghai
ED,eye diameter,measured as a horizontal distance,Shi 2021 Gloydius Qinghai
IOS,interorbital space,the distance between the top margin of eyes,Shi 2021 Gloydius Qinghai
INS,internasal space,the distance between nostrils,Shi 2021 Gloydius Qinghai
SPL,supralabials,,Shi 2021 Gloydius Qinghai
IFL,infralabials,,Shi 2021 Gloydius Qinghai
DS,dorsal scales,,Shi 2021 Gloydius Qinghai
V,ventral scales,,Shi 2021 Gloydius Qinghai
SC,subcaudal scales,,Shi 2021 Gloydius Qinghai
SVL,snout–vent length,from the border of cloaca to the tip of snout,Ribeiro-Ju?ünior 2021 Alopoglossus
AGL,axilla–groin length,from the anterior margin of the hind limb to the posterior margin of the forelimb,Ribeiro-Ju?ünior 2021 Alopoglossus
HD,head depth,at the highest point dorsoventrally,Ribeiro-Ju?ünior 2021 Alopoglossus
HW,head width,at the widest point,Ribeiro-Ju?ünior 2021 Alopoglossus
HL,head length,from the anterior margin of tympanic aperture to the tip of snout,Ribeiro-Ju?ünior 2021 Alopoglossus
NL,neck length,from the posterior margin of the tympanic aperture to the anterior margin of the forelimb,Ribeiro-Ju?ünior 2021 Alopoglossus
FL,forelimb length,,Ribeiro-Ju?ünior 2021 Alopoglossus
HLL,hindlimb length,,Ribeiro-Ju?ünior 2021 Alopoglossus
ShL,shank length,,Ribeiro-Ju?ünior 2021 Alopoglossus
TL,tail length,,Ribeiro-Ju?ünior 2021 Alopoglossus
D,dorsal scales,counted from the parietals posteriorly to the insertion of hindlimbs,Ribeiro-Ju?ünior 2021 Alopoglossus
V,ventrals,,Ribeiro-Ju?ünior 2021 Alopoglossus
Mb,scale rows around them midbody,"scale rows around the tail, immediately posterior to the cloaca",Ribeiro-Ju?ünior 2021 Alopoglossus
So,supraoculars,,Ribeiro-Ju?ünior 2021 Alopoglossus
Sbo,suboculars,,Ribeiro-Ju?ünior 2021 Alopoglossus
Po,postoculars,,Ribeiro-Ju?ünior 2021 Alopoglossus
Sc,superciliaries,,Ribeiro-Ju?ünior 2021 Alopoglossus
L,loreal,,Ribeiro-Ju?ünior 2021 Alopoglossus
Fr,frenocular,,Ribeiro-Ju?ünior 2021 Alopoglossus
Sl,supralabials,,Ribeiro-Ju?ünior 2021 Alopoglossus
Il),infralabials,,Ribeiro-Ju?ünior 2021 Alopoglossus
Neck,scales on sides of neck,in transverse rows,Ribeiro-Ju?ünior 2021 Alopoglossus
Pairs,pairs of chin shields,,Ribeiro-Ju?ünior 2021 Alopoglossus
BtwP,granular scales between the pairs of chin shields,,Ribeiro-Ju?ünior 2021 Alopoglossus
G,gulars,counted between the interbrachial and mental plates,Ribeiro-Ju?ünior 2021 Alopoglossus
Pores,femoral pores,,Ribeiro-Ju?ünior 2021 Alopoglossus
F,lamellae under fourth finger,,Ribeiro-Ju?ünior 2021 Alopoglossus
T,lamellae under fourth toe,,Ribeiro-Ju?ünior 2021 Alopoglossus
TL,total length,from tip of snout to tip of tail,Qi 2021 Elaphe xiphodonata
SVL,snout-vent length,from tip of snout to posterior margin of cloacal plate,Qi 2021 Elaphe xiphodonata
TaL,tail length,from posterior margin of cloacal plate to tip of tail,Qi 2021 Elaphe xiphodonata
HL,head length,from tip of snout to posterior margin of the mandible,Qi 2021 Elaphe xiphodonata
HW,maximum head width,,Qi 2021 Elaphe xiphodonata
ED,eye horizontal diameter,,Qi 2021 Elaphe xiphodonata
RW,maximum rostral width,,Qi 2021 Elaphe xiphodonata
RH,maximum rostral height,,Qi 2021 Elaphe xiphodonata
DSR,dorsal scale rows,"counted at one head length behind head, at midbody, and at one head length before vent",Qi 2021 Elaphe xiphodonata
SPL,supralabials,,Qi 2021 Elaphe xiphodonata
IFL,infralabials,,Qi 2021 Elaphe xiphodonata
CS,chin shields,,Qi 2021 Elaphe xiphodonata
PrO,preoculars,,Qi 2021 Elaphe xiphodonata
PtO,postoculars,,Qi 2021 Elaphe xiphodonata
LoR,loreal,,Qi 2021 Elaphe xiphodonata
aTMP,anterior temporals,,Qi 2021 Elaphe xiphodonata
pTMP,posterior temporals,,Qi 2021 Elaphe xiphodonata
PrV,preventral scales,,Qi 2021 Elaphe xiphodonata
V,ventral scales,,Qi 2021 Elaphe xiphodonata
PrC,precloacal plate,,Qi 2021 Elaphe xiphodonata
SC,subcaudals,,Qi 2021 Elaphe xiphodonata
SVL,snout to vent length,,Purkayastha 2021 Cyrtodactylus northeast India
TRL,trunk length,,Purkayastha 2021 Cyrtodactylus northeast India
BW,maximum body width,,Purkayastha 2021 Cyrtodactylus northeast India
TL,tail length,,Purkayastha 2021 Cyrtodactylus northeast India
TW,tail width ,taken on first tail segment,Purkayastha 2021 Cyrtodactylus northeast India
TD,tail depth ,taken on first tail segment,Purkayastha 2021 Cyrtodactylus northeast India
HL,head length, from the snout tip to the retroarticular process of the jaw,Purkayastha 2021 Cyrtodactylus northeast India
HW,maximum head width,,Purkayastha 2021 Cyrtodactylus northeast India
JW,jaw width ,taken ventrally at the retroarticular process of the jaw,Purkayastha 2021 Cyrtodactylus northeast India
HD,maximum head depth,,Purkayastha 2021 Cyrtodactylus northeast India
FL,forearm length,,Purkayastha 2021 Cyrtodactylus northeast India
CL,crus length,,Purkayastha 2021 Cyrtodactylus northeast India
OD,orbit diameter,,Purkayastha 2021 Cyrtodactylus northeast India
NO,distance between the posterior edge of the nostril and the anterior orbital border,,Purkayastha 2021 Cyrtodactylus northeast India
SO,distance between the snout tip and the anterior orbital border,,Purkayastha 2021 Cyrtodactylus northeast India
OE,distance between posterior orbital border and the anterior border of the ear,,Purkayastha 2021 Cyrtodactylus northeast India
EL,maximum ear length,,Purkayastha 2021 Cyrtodactylus northeast India
ES,anterior border of the ear to the snout tip,,Purkayastha 2021 Cyrtodactylus northeast India
IN,internarial distance,,Purkayastha 2021 Cyrtodactylus northeast India
IO,minimum interorbital distance, between left and right supraciliary rows,Purkayastha 2021 Cyrtodactylus northeast India
FW,minimum frontal width,,Purkayastha 2021 Cyrtodactylus northeast India
RL,maximum rostral length,,Purkayastha 2021 Cyrtodactylus northeast India
RW,maximum rostral width,,Purkayastha 2021 Cyrtodactylus northeast India
ML,maximum mental length,,Purkayastha 2021 Cyrtodactylus northeast India
MW,maximum mental width,,Purkayastha 2021 Cyrtodactylus northeast India
PMIL,maximum length of inner postmental,,Purkayastha 2021 Cyrtodactylus northeast India
PMIIL,maximum length of outer postmental,,Purkayastha 2021 Cyrtodactylus northeast India
PcP,precloacal pores,,Purkayastha 2021 Cyrtodactylus northeast India
PcFP,precloacofemoral pores,,Purkayastha 2021 Cyrtodactylus northeast India
MVSR,mid-ventral scale rows,counted between ventrolateral folds,Purkayastha 2021 Cyrtodactylus northeast India
PVT,paravertebral tubercles on the trunk only,counted between the level of the axilla and the level of the groin,Purkayastha 2021 Cyrtodactylus northeast India
DTR,dorsal tubercle rows,counted transversely across the body,Purkayastha 2021 Cyrtodactylus northeast India
SL,total supralabials,,Purkayastha 2021 Cyrtodactylus northeast India
IL,total infralabials,,Purkayastha 2021 Cyrtodactylus northeast India
SVL,Snout-vent length,,Pizzigalli 2021 Mesalina olivieri.pdf
TL,Tail length,,Pizzigalli 2021 Mesalina olivieri.pdf
HL,Head length,,Pizzigalli 2021 Mesalina olivieri.pdf
HW,Head width,,Pizzigalli 2021 Mesalina olivieri.pdf
HH,Head height,,Pizzigalli 2021 Mesalina olivieri.pdf
D,dorsal scales ,counted around midbody,Pizzigalli 2021 Mesalina olivieri.pdf
V,ventral plates,,Pizzigalli 2021 Mesalina olivieri.pdf
G,gular scales ,in one straight line from the collar to the infralabials (collar included),Pizzigalli 2021 Mesalina olivieri.pdf
Pf (Dx and Sx),femoral pores ,on the right and left sides,Pizzigalli 2021 Mesalina olivieri.pdf
Lam,lamellae ,beneath the fourth toe,Pizzigalli 2021 Mesalina olivieri.pdf
NTS,No. of rows of temporal granulae,average of left and right side,Pizzigalli 2021 Mesalina olivieri.pdf
TR,No. of scales around the tail at the 10th scale ring,,Pizzigalli 2021 Mesalina olivieri.pdf
SL,No. of supralabials in contact with the subocular on the right and left sides,,Pizzigalli 2021 Mesalina olivieri.pdf
IL (Dx and Sx),No. of infralabials on the right and left sides,,Pizzigalli 2021 Mesalina olivieri.pdf
Col,No. of enlarged scales forming a collar,,Pizzigalli 2021 Mesalina olivieri.pdf
EL,No. of enlarged scales on the lower eyelid," forming the palpebral disks, average of left and right side",Pizzigalli 2021 Mesalina olivieri.pdf
EBL,Black line surrounding the eyelids scales ,,Pizzigalli 2021 Mesalina olivieri.pdf
SPDLL ,Pale dorsolateral line ,No. of scales included into the width of the pale dorsolateral line,Pizzigalli 2021 Mesalina olivieri.pdf
DDSLL,Dark supra-dorsolateral line  ,,Pizzigalli 2021 Mesalina olivieri.pdf
Lor,loreal,,Peng 2021 Gonyosoma Hainan
PrO,preocular,,Peng 2021 Gonyosoma Hainan
PtO,postocular counts,,Peng 2021 Gonyosoma Hainan
SL,supralabial,,Peng 2021 Gonyosoma Hainan
IL,infralabial,,Peng 2021 Gonyosoma Hainan
Tem,temporal counts,,Peng 2021 Gonyosoma Hainan
DSR,dorsal scale row numbers,"counting at one head length  behind  head,  at  midbody,  and  at  one  head  length before  vent,  respectively)",Peng 2021 Gonyosoma Hainan
VEN,ventral  counts,,Peng 2021 Gonyosoma Hainan
SC,subcaudal  counts,terminal  scute excluded from number of subcaudals,Peng 2021 Gonyosoma Hainan
PreAn,preanal plate,,Peng 2021 Gonyosoma Hainan
ILC,infralabial  contact  with  first  pair  of  chin  shields,,Peng 2021 Gonyosoma Hainan
SVL,snout-vent length,distance from tip of snout to posterior margin of cloaca,Peng 2021 Gonyosoma Hainan
TaL,tail  length,distance  from  posterior  margin  of cloaca to tail tip,Peng 2021 Gonyosoma Hainan
HL,head length,posterior edge of jaw to tip of snout,Peng 2021 Gonyosoma Hainan
HW,head width,maximum head width,Peng 2021 Gonyosoma Hainan
EL,eye length,maximum vertical eye length,Peng 2021 Gonyosoma Hainan
EW,eye width,maximum horizontal  eye  width,Peng 2021 Gonyosoma Hainan
HH,head  height,,Peng 2021 Gonyosoma Hainan
RW,rostral  width,,Peng 2021 Gonyosoma Hainan
BW,Body width,"greatest width of torso, taken at level of midbody",Pauwels 2021 Dixonius_mekongensis
EarL,ear length,the greatest horizontal distance of the ear opening,Pauwels 2021 Dixonius_mekongensis
FAL,forearm length,taken on the dorsal surface from the posterior margin of the elbow while flexed 90° to the inflection of the flexed wrist,Pauwels 2021 Dixonius_mekongensis
HD,head depth,the maximum depth of head from the occiput to the throat,Pauwels 2021 Dixonius_mekongensis
HL,head length,from the posterior margin of the retroarticular process of the lower jaw to the tip of the snout,Pauwels 2021 Dixonius_mekongensis
HW,head width,measured at the angle of the jaws,Pauwels 2021 Dixonius_mekongensis
InterN,internarial distance,measured between the nares across the rostrum,Pauwels 2021 Dixonius_mekongensis
InterOrb,interorbital distance,measured between the anterior edges of the orbits,Pauwels 2021 Dixonius_mekongensis
NosOrb,nostril to orbit distance,from the posterior margin of the external nares to the anterior margin of the orbit,Pauwels 2021 Dixonius_mekongensis
OrbD,orbit diameter,the greatest horizontal diameter of the orbit,Pauwels 2021 Dixonius_mekongensis
OrbEar,orbit to ear distance,from the anterior edge of the ear opening to the posterior edge of the orbit,Pauwels 2021 Dixonius_mekongensis
SnOrb,snout to eye distance,from the tip of the snout to the anteriormost margin of the orbit,Pauwels 2021 Dixonius_mekongensis
SVL,snout-vent length,taken from the tip of snout to the vent,Pauwels 2021 Dixonius_mekongensis
TailL,tail length,"taken from the vent to the tip of the tail, original or regenerated",Pauwels 2021 Dixonius_mekongensis
TailW,tail width,taken at the base of the tail immediately posterior to the postcloacal swelling,Pauwels 2021 Dixonius_mekongensis
TibL,tibia length,taken on the ventral surface from the posterior surface of the knee while flexed 90° to the base of heel,Pauwels 2021 Dixonius_mekongensis
TrunkL,axilla to groin length (trunk length),taken from the posterior margin of the forelimb at its insertion point on the body to the anterior margin of the hind limb at its insertion point on the body.,Pauwels 2021 Dixonius_mekongensis
DTR,longitudinal rows of dorsal tubercles,,Pauwels 2021 Dixonius_mekongensis
FemPo,femoral pores,,Pauwels 2021 Dixonius_mekongensis
