ABBREVIATION,TERM,DEFINITION ,ARTICLE ID 
ED                            ,horizontal diameter of the eye,,Chandramouli 2020 Trimeresurus
EN                             ,eye-nostril distance,,Chandramouli 2020 Trimeresurus
ES,snout length,from anterior margin of the eye to snout tip ,Chandramouli 2020 Trimeresurus
IO,inter-orbital distance,measured dorsally as the distance between the eyes ,Chandramouli 2020 Trimeresurus
IN,inter-narial distance,measured as the distance between the nares ,Chandramouli 2020 Trimeresurus
DSR,dorsal scale-rows near neck,midbody and near tail,Chandramouli 2020 Trimeresurus
CEP,number of cephalic scales,counted in a horizontal series between the elongated supraoculars and ventrals,Chandramouli 2020 Trimeresurus
XXX,hemipenis,,Chandramouli 2020 Trimeresurus
SVL,snout-vent length,from tip of snout to vent,Do 2021 Cyrtodactylus orlovi
TaL,tail length,from vent to tip of tail (marking * for regenerated tail),Do 2021 Cyrtodactylus orlovi
HL,head length,from tip of snout to retroarticular process of jaw,Do 2021 Cyrtodactylus orlovi
Hw,head width,maximum width of head,Do 2021 Cyrtodactylus orlovi
HH,head height,from occiput to underside of jaws,Do 2021 Cyrtodactylus orlovi
OD,orbital diameter,great-est diameter of orbit,Do 2021 Cyrtodactylus orlovi
SE,snout to eye distance,from tip of snout to anterior-most point of eye,Do 2021 Cyrtodactylus orlovi
Eye Ear,eye to ear distance,from anterior edge of ear opening to posterior corner of eye,Do 2021 Cyrtodactylus orlovi
NarEye,nares to eye distance,from anterior-most point of eye to posterior-most point of nostril,Do 2021 Cyrtodactylus orlovi
ED,ear length,longest dimension of ear,Do 2021 Cyrtodactylus orlovi
ForeaL,forearm length,from base of palm to tip of elbow,Do 2021 Cyrtodactylus orlovi
CrusL,crus length,from base of heel to knee,Do 2021 Cyrtodactylus orlovi
TrunkL,trunk length,from axilla to groin measured from posterior edge of forelimb insertion to anterior edge of hindlimb insertion,Do 2021 Cyrtodactylus orlovi
Bw,body width,the widest distance of body ,Do 2021 Cyrtodactylus orlovi
Internar,internarial distance,distance between nares ,Do 2021 Cyrtodactylus orlovi
Interorb,interorbital distance,shortest distance between left and right supraciliary scale rows.,Do 2021 Cyrtodactylus orlovi
SupL,Supralabials,counted from the first labial scale to corner of mouth,Do 2021 Cyrtodactylus orlovi
Infra,infralabials,counted from the first labial scale to posterior corner of mouth,Do 2021 Cyrtodactylus orlovi
IN,postrostrals or internasals,,Do 2021 Cyrtodactylus orlovi
PM                      ,postmentals,,Do 2021 Cyrtodactylus orlovi
GST,granular scales,surrounding dorsal tubercles                                ,Do 2021 Cyrtodactylus orlovi
V,ventral scales,in longitudianal rows at midbody                             ,Do 2021 Cyrtodactylus orlovi
SLB,scales along the midbody,from mental shield to anterior edge of cloaca,Do 2021 Cyrtodactylus orlovi
FB ,femoral pores,,Do 2021 Cyrtodactylus orlovi
PP                            ,precloacal pores in males,,Do 2021 Cyrtodactylus orlovi
PAT  ,postcloacal tubercles,,Do 2021 Cyrtodactylus orlovi
DTR,dorsal tubercle rows,,Do 2021 Cyrtodactylus orlovi
EFS  ,enlarged femoral scales,,Do 2021 Cyrtodactylus orlovi
XXX,subdigital lamellae ,,Do 2021 Cyrtodactylus orlovi
XXX,Bilateral scale ,,Do 2021 Cyrtodactylus orlovi
SVL,snout-vent length,from the tip of snout to the vent,Do 2021 Hemiphyllodactylus dalatensis
TaL,tail length,"from the vent to the tip of the tail, original or regenerated",Do 2021 Hemiphyllodactylus dalatensis
TrunkL,trunk length,from the posterior margin of the forelimb at its insertion point on the body to the anterior margin of the hind limb at its insertion point on the body,Do 2021 Hemiphyllodactylus dalatensis
HeadL,head length,from the posterior margin of the retroarticular process of the lower jaw to the tip of the snout,Do 2021 Hemiphyllodactylus dalatensis
HeadW,head width,mmeasured at the angle of the jaws,Do 2021 Hemiphyllodactylus dalatensis
EyeD,Eye diameter,the greatest horizontal diameter of the eyeball,Do 2021 Hemiphyllodactylus dalatensis
SnEye,snout-eye distance,from anteriormost margin of the eyeball to the tip of snout,Do 2021 Hemiphyllodactylus dalatensis
NarEye,nares-eye distance,from the anterior margin of the eyeball to the posterior margin of the external nares,Do 2021 Hemiphyllodactylus dalatensis
SnW,internarial width,"measured between the nares across the rostral and mental scales, respectively",Do 2021 Hemiphyllodactylus dalatensis
EarD,ear diameter,maximum diameter of ear,Do 2021 Hemiphyllodactylus dalatensis
XXX,ventral scales,the number of longitudinal ventral scales at midbody contained within one eye diameter,Do 2021 Hemiphyllodactylus dalatensis
XXX,dorsal scales,the number of longitudinal dorsal scales at midbody contained within one eye diameter,Do 2021 Hemiphyllodactylus dalatensis
CircNa,circumnasal scales,"the number of scales abutting external naris, exclusive of the rostral and first supralabial",Do 2021 Hemiphyllodactylus dalatensis
SnS,,the number of scales between the supranasals                                                ,Do 2021 Hemiphyllodactylus dalatensis
Suplab,supralabial scales,number of enlarged scales bordering the mouth on the upper jaw from the rostral to a point in line with the posterior margin of the orbit,Do 2021 Hemiphyllodactylus dalatensis
Inflab,infralabial scales,the number of enlarged scales bordering the mouth on the lower jaw from the mental to a point in line with the posterior margin of the orbit,Do 2021 Hemiphyllodactylus dalatensis
Chin,chin scales,the number of scales contacting infralabials and mental on the ventral surface from the juncture of the second and third infralabials on the left side of the head to the juncture of the second and third infralabials on the right side of the head,Do 2021 Hemiphyllodactylus dalatensis
XXX,subdigital lamellae,,Do 2021 Hemiphyllodactylus dalatensis
XXX,cloacal spurs,,Do 2021 Hemiphyllodactylus dalatensis
SVL,snout–vent length,,Edwards 2011 Diporiphora
AG,axillo–groin length,,Edwards 2011 Diporiphora
HL,head length,,Edwards 2011 Diporiphora
SL,snout length,,Edwards 2011 Diporiphora
HD,head depth,,Edwards 2011 Diporiphora
HW,head width,,Edwards 2011 Diporiphora
NW,nostril width,,Edwards 2011 Diporiphora
IOW,interorbital width,,Edwards 2011 Diporiphora
ArL,arm length,,Edwards 2011 Diporiphora
McL,metacarpal length,,Edwards 2011 Diporiphora
LgL,leg length,,Edwards 2011 Diporiphora
MtL,metatarsal length,,Edwards 2011 Diporiphora
TaL,tail length,,Edwards 2011 Diporiphora
RFP & LFP,right and left femoral pore number,,Edwards 2011 Diporiphora
RPP & LPP,right and left preanal pore number,,Edwards 2011 Diporiphora
McL,number of lamellae on Finger IV,,Edwards 2011 Diporiphora
MtL,number of lamellae on Toe IV,,Edwards 2011 Diporiphora
ILS,number of infralabial scales,,Edwards 2011 Diporiphora
SLS,number of supralabial scales ,,Edwards 2011 Diporiphora
TyW,tympanum width,,Edwards 2011 Diporiphora
PAS,postauricular spine number,,Edwards 2011 Diporiphora
UAS,upper auricular spine number,,Edwards 2011 Diporiphora
SAUS,secondary upper auricular spine number,,Edwards 2011 Diporiphora
NS,nuchal spine number,,Edwards 2011 Diporiphora
SS,scapular spine number,,Edwards 2011 Diporiphora
SGF,strength of gular fold,,Edwards 2011 Diporiphora
SSF,strength of scapular fold,,Edwards 2011 Diporiphora
PVS, paravertebral scale keeling,,Edwards 2011 Diporiphora
RPVS,regularity of paravertebral scale keeling,,Edwards 2011 Diporiphora
RBwPV,regularity of scales between PV rows,,Edwards 2011 Diporiphora
NSP,nuchal spine position,,Edwards 2011 Diporiphora
DLS,dorsolateral spine,,Edwards 2011 Diporiphora
TC,throat color,,Edwards 2011 Diporiphora
DLC,dorso-lateral body color,,Edwards 2011 Diporiphora
LC,lip-scale color,,Edwards 2011 Diporiphora
SV,snout-vent length,from tip of snout to vent,Fernández 2021 Liolaemus robertmertensi
HL,head length,from tip of snout to posterior edge of auditory meatus,Fernández 2021 Liolaemus robertmertensi
HW,head width,from the temporal regions,Fernández 2021 Liolaemus robertmertensi
HH,head heigh,,Fernández 2021 Liolaemus robertmertensi
TrL,trunk length,between fore and hind limbs ,Fernández 2021 Liolaemus robertmertensi
FL,foot length,from the tip of four toe to ankle,Fernández 2021 Liolaemus robertmertensi
TW,base of tail width,at the base of tail in the cloacal region,Fernández 2021 Liolaemus robertmertensi
SAB,scales around body,,Fernández 2021 Liolaemus robertmertensi
DS,dorsal scales,between occiput and thighs region,Fernández 2021 Liolaemus robertmertensi
XXX,scales from occiput to rostral,,Fernández 2021 Liolaemus robertmertensi
XXX,frontal-supercilliaries ,,Fernández 2021 Liolaemus robertmertensi
XXX,lef postrostral organs ,,Fernández 2021 Liolaemus robertmertensi
XXX,temporal scales,,Fernández 2021 Liolaemus robertmertensi
XXX,neck scales,,Fernández 2021 Liolaemus robertmertensi
XXX,gular scales,,Fernández 2021 Liolaemus robertmertensi
XXX,lorilabial scales contacting subocular,,Fernández 2021 Liolaemus robertmertensi
XXX,supralabials,,Fernández 2021 Liolaemus robertmertensi
XXX,infralabials,,Fernández 2021 Liolaemus robertmertensi
XXX,ventral scales,,Fernández 2021 Liolaemus robertmertensi
DSR,Dorsal Scale Rows,,Ganesh 2021 Boiga whitakeri
Ven,Ventral scales,,Ganesh 2021 Boiga whitakeri
Scd ,Subcaudal scales,,Ganesh 2021 Boiga whitakeri
SLab  ,Supralabial scales,,Ganesh 2021 Boiga whitakeri
ILab ,Infralabial scales,,Ganesh 2021 Boiga whitakeri
PreOc ,Preocular,,Ganesh 2021 Boiga whitakeri
PosOc,Postocular,,Ganesh 2021 Boiga whitakeri
Temp ,Temporal scales,,Ganesh 2021 Boiga whitakeri
SVL ,Snout to Vent Length,,Ganesh 2021 Boiga whitakeri
tL ,Tail Length,,Ganesh 2021 Boiga whitakeri
D Col,Dorsal Colouration,,Ganesh 2021 Boiga whitakeri
V Col ,Ventral Colouration,,Ganesh 2021 Boiga whitakeri
SVL,snout–vent length,from the tip of the snout to the anterior lip of the cloaca,Harvey 2021 Gonocephalus Sumatra
XXX,body length,from the posterior insertion of the arm to the anterior insertion of the leg ,Harvey 2021 Gonocephalus Sumatra
XXX,pectoral width,axilla to axilla,Harvey 2021 Gonocephalus Sumatra
XXX,length of the tail,"only on complete, undamaged tails from the anterior lip of the cloaca",Harvey 2021 Gonocephalus Sumatra
XXX,head length,from the anterior border of the tympanum to the center of the rostral scale,Harvey 2021 Gonocephalus Sumatra
XXX,head width,at corner of mouth,Harvey 2021 Gonocephalus Sumatra
XXX,maximum diameter of the orbit,bony edge to bony edge; we took this measurement along a line parallel to the ocular aperture,Harvey 2021 Gonocephalus Sumatra
XXX,width of the snout,between the upper margins of the nostrils,Harvey 2021 Gonocephalus Sumatra
XXX,greatest width and height of the medial rostral ,,Harvey 2021 Gonocephalus Sumatra
XXX,length of the tympanum ,,Harvey 2021 Gonocephalus Sumatra
XXX,distance between the eye and tympanum,minimal distance from bony margin of orbit to antero-dorsal border of tympanum,Harvey 2021 Gonocephalus Sumatra
XXX,length of the shank,from the center of the knee to the preaxial base of Toe I,Harvey 2021 Gonocephalus Sumatra
XXX,height of the longest nuchal crest scale,"a straight-line measure from the anterior-most edge of the scale, just above the paravertebral scale row, to the scale’s apex",Harvey 2021 Gonocephalus Sumatra
XXX,height of the longest dorsal crest scale,using the same technique as for nuchal crest scales,Harvey 2021 Gonocephalus Sumatra
RAL,rostral appendage length,distance between tip of snout and tip of horn,Karunarathna 2020 Ceratophora ukuwelai
DLM ,digit length manus,"fork to digit tip, excluding the claw ",Karunarathna 2020 Ceratophora ukuwelai
DLP,digit length pes,"fork to digit tip, excluding the claw ",Karunarathna 2020 Ceratophora ukuwelai
EN,eye to nostril length,distance between anteriormost point of bony orbit and middle of nostril,Karunarathna 2020 Ceratophora ukuwelai
ES,snout length,"distance between anteriormost point of bony orbit and tip of snout, excluding appendage",Karunarathna 2020 Ceratophora ukuwelai
FEL,femur length,distance between groin and knee,Karunarathna 2020 Ceratophora ukuwelai
HD,head depth,"maximum height of head, across eyes",Karunarathna 2020 Ceratophora ukuwelai
HEL,heel length,from wrist to tip of fourth fnger,Karunarathna 2020 Ceratophora ukuwelai
HL,head length,distance between posterior edge of mandible and tip of snout,Karunarathna 2020 Ceratophora ukuwelai
HW,head width,maximum width of head,Karunarathna 2020 Ceratophora ukuwelai
IO,interorbital width,narrowest width across frontal bone ,Karunarathna 2020 Ceratophora ukuwelai
JL,jaw length,from tip of snout to end of mouth corner,Karunarathna 2020 Ceratophora ukuwelai
LAL,forearm length,distance from elbow to wrist with both upper arm and palm fexed at 90,Karunarathna 2020 Ceratophora ukuwelai
OD,orbital diameter,greatest diameter of orbit,Karunarathna 2020 Ceratophora ukuwelai
PAL,palm length,from ankle to tip of fourth toe ,Karunarathna 2020 Ceratophora ukuwelai
SA,snout to axilla,distance between axilla and tip of snout,Karunarathna 2020 Ceratophora ukuwelai
SN,snout to nostril,distance between tip of snout and middle of nostril,Karunarathna 2020 Ceratophora ukuwelai
SVL,snout-vent length,distance between tip of snout and anterior margin of vent ,Karunarathna 2020 Ceratophora ukuwelai
TAL,tail length,distance between anterior margin of vent and tail tip,Karunarathna 2020 Ceratophora ukuwelai
TBL,tibia length,"distance between knee and heel, with both tibia and tarsus fexed at 90° ",Karunarathna 2020 Ceratophora ukuwelai
TRL,trunk length,distance between axilla and groin,Karunarathna 2020 Ceratophora ukuwelai
UAL,upper- arm length,distance between axilla and angle of elbow at 90°,Karunarathna 2020 Ceratophora ukuwelai
SVL,Snout to vent length,from tip of snout to caudal edge of anal scales,Kurnaz 2021 Acanthodactylus Turkey
TL,Tail length,"from caudal edge of anal scales to tip of tail, on complete original tails only",Kurnaz 2021 Acanthodactylus Turkey
HW,Head width,at the widest point of head,Kurnaz 2021 Acanthodactylus Turkey
HH,Head height,from upper surface of head to lower surface of chin,Kurnaz 2021 Acanthodactylus Turkey
HL,Head length,from tip of snout to posterior edge of tympanum,Kurnaz 2021 Acanthodactylus Turkey
PW,Pileus width,at widest point between parietal plates,Kurnaz 2021 Acanthodactylus Turkey
PL,Pileus length,tip of snout to posterior margins of parietals,Kurnaz 2021 Acanthodactylus Turkey
FLL,Fore limb length,,Kurnaz 2021 Acanthodactylus Turkey
HLL,Hind limb length,,Kurnaz 2021 Acanthodactylus Turkey
AL,Anal plate length,,Kurnaz 2021 Acanthodactylus Turkey
AW,Anal plate width,,Kurnaz 2021 Acanthodactylus Turkey
SVL ,Distance from tip of snout to vent,,Nguyen 2021 Dixonius somchanhae
TaL ,Distance from vent to tip of tail,,Nguyen 2021 Dixonius somchanhae
TrunkL ,Axilla to groin distance (trunk length),,Nguyen 2021 Dixonius somchanhae
TW ,"Tail width, measured at base of tail",,Nguyen 2021 Dixonius somchanhae
BW ,"Body width, greatest width of torso",,Nguyen 2021 Dixonius somchanhae
HL,Head length,distance between posterior edge of last supralabial and tip of snout,Nguyen 2021 Dixonius somchanhae
HW,Head width,measured at angle of jaws,Nguyen 2021 Dixonius somchanhae
HD,Head depth,"maximum height of head, from occiput to throat",Nguyen 2021 Dixonius somchanhae
EL,Ear length,length along the major axis of ear,Nguyen 2021 Dixonius somchanhae
CrusL,Crus length,from base of heel to knee,Nguyen 2021 Dixonius somchanhae
FA,Forearm length,distance between palm and elbow,Nguyen 2021 Dixonius somchanhae
ED,Eye diameter,greatest diameter of orbit,Nguyen 2021 Dixonius somchanhae
EN,Eye nostril distance,distance between anteriormost point of eyes and nostrils,Nguyen 2021 Dixonius somchanhae
ES,Eye snout distance,distance between anteriormost point of eyes and tip of snout,Nguyen 2021 Dixonius somchanhae
EE,Eye ear distance,distance from anterior edge of ear opening to posterior corner of eyes,Nguyen 2021 Dixonius somchanhae
IN,Internarial distance,distance between nares,Nguyen 2021 Dixonius somchanhae
IO,Interorbital distance,distance between orbits,Nguyen 2021 Dixonius somchanhae
V,Ventral scale rows,number of longitudinal ventral scale rows counted midway between axilla and groin,Nguyen 2021 Dixonius somchanhae
DTR ,Longitudinal rows of dorsal tubercles,,Nguyen 2021 Dixonius somchanhae
PV,Paravertebral scales,number of scales in a paravertebral row from first scale posterior to parietal scale to last scale at the level of vent opening,Nguyen 2021 Dixonius somchanhae
PV’,Paravertebral scales,scales in a row between limb insertions,Nguyen 2021 Dixonius somchanhae
IOS,Interorbital scales,scales at narrowest point between orbits,Nguyen 2021 Dixonius somchanhae
ICS,Interciliary scales,", scales between supraciliaries at midpoint of orbit",Nguyen 2021 Dixonius somchanhae
SPL ,Supralabials,,Nguyen 2021 Dixonius somchanhae
IFL ,Infralabials,,Nguyen 2021 Dixonius somchanhae
MO ,Number of supralabial at midorbital position,,Nguyen 2021 Dixonius somchanhae
PP ,Precloacal pores,,Nguyen 2021 Dixonius somchanhae
SVL,Snout-vent length,from tip of snout to anterior edge of cloaca ,Patel 2020 Ophisops Gujarat
TL,Tail length,from posterior edge of cloaca to tip of tail,Patel 2020 Ophisops Gujarat
TRL,Trunk length,from posterior margin of fore limb insertion to anterior margin of hind limb insertion ,Patel 2020 Ophisops Gujarat
HL,Head length,from tip of snout to the posterior edge of tympanum ,Patel 2020 Ophisops Gujarat
HH,Head height,maximum distance between upper head and lower jaw ,Patel 2020 Ophisops Gujarat
HW,Head width,distance between posterior eye corners,Patel 2020 Ophisops Gujarat
LFL,Length of forelimb,from top of shoulder joint to tip of 4th finger ,Patel 2020 Ophisops Gujarat
LHL,Length of hindlimb,from hip joint to tip of 4th toe ,Patel 2020 Ophisops Gujarat
FL,Forearm length,from elbow to distal end of wrist,Patel 2020 Ophisops Gujarat
LFO,Length of femur,from hip joint to top of knee ,Patel 2020 Ophisops Gujarat
CL,Length of tibia,from top of knee to beneath wrist ,Patel 2020 Ophisops Gujarat
ED,Eye Diameter,greatest horizontal diameter of eye,Patel 2020 Ophisops Gujarat
SE,Snout to eye distance,from anterior margin of eye to tip of snout ,Patel 2020 Ophisops Gujarat
