orig.abbr.,redundant,new.abbr.,upper,TERM,DEFINITION ,ARTICLE ID 
EN,x,en,EN,eye to nostril length,distance between anteriormost point of bony orbit and middle of nostril,Karunarathna 2020 Ceratophora ukuwelai
EN,x,en,EN,eye-nostril distance,measured from the anterior margin of the eye to the posterior margin of the external nares,Chandramouli 2021 Nicobar Gekko
EN                             ,x,en,EN,eye-nostril distance,,Chandramouli 2020 Trimeresurus
XXX,x,en,EN,eye–nostril length,from anterior border of orbit to middle of nostril,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,x,en,EN,eye–nostril length,distance between anteriormost point of eye and middle of nostril,Amarasinghe 2021 Oligodon tolaki
NarEye,x,en,EN,nares to eye distance,from anterior-most point of eye to posterior-most point of nostril,Do 2021 Cyrtodactylus orlovi
NE,x,en,EN,nares to eye distance,,Lobo?ün-Rovira 2021 Hemidactylus Angola
NarEye,x,en,EN,nares-eye distance,from the anterior margin of the eyeball to the posterior margin of the external nares,Do 2021 Hemiphyllodactylus dalatensis
NarEye,x,en,EN,nares-eye length,measured from the anterior margin of the eyeball to the posterior margin of the external nares,Agung 2021 Hemiphyllodactylus
EN,x,en,EN,naris to eye distance,,Khandekar 2021 Hemiphyllodactylus goaensis
NE,x,en,EN,Nostril to eye distance,from tip of nostril to anterior corner of eye ,Patel 2020 Ophisops Gujarat
NE,x,en,EN,nostril to eye distance,from nostril to anterior corner of eye orbit,Liu 2021 Cyrtodactylus Western Yunnan
NosOrb,x,en,EN,nostril to orbit distance,from the posterior margin of the external nares to the anterior margin of the orbit (technically not eye),Pauwels 2021 Dixonius_mekongensis
NosOrb,x,en,EN,nostril to orbit distance,from the posterior margin of the external nares to the anterior margin of the orbit,Meesook 2021 Gekko_pradapdao
SN,x,en,EN,snout to nostril,distance between tip of snout and middle of nostril,Karunarathna 2020 Ceratophora ukuwelai
ES,,es,ES,Eye snout distance,distance between anteriormost point of eyes and tip of snout,Nguyen 2021 Dixonius somchanhae
ES,x,esd,ESD,anterior border of the ear to the snout tip,,Purkayastha 2021 Cyrtodactylus northeast India
ES,x,esd,ESD,anterior border of the ear to the snout tip,,Kamei 2021 Cyrtodactylus bapme
SO,x,esd,ESD,distance between the snout tip and the anterior orbital border,,Purkayastha 2021 Cyrtodactylus northeast India
SO,x,esd,ESD,distance between the snout tip and the anterior orbital border,,Kamei 2021 Cyrtodactylus bapme
ES,x,esd,ESD,eye to snout distance,,Khandekar 2021 Hemidactylus tamhiniensis
ES,x,esd,ESD,eye to snout distance,,Khandekar 2021 Cnemaspis uttaraghati
ES,x,esd,ESD,eye to snout distance,,Agarwal 2021 Cnemaspis krishnagiriensis
EN,x,esd,ESD,eye–snout distance,from anterior corner of eye to tip of snout,Torres-Carvajal 2021 new Microtegu
ES,x,esd,ESD,snout length,distance between anteriormost point of eye and snout,Amarasinghe 2021 Oligodon tolaki
ES,x,esd,ESD,snout length,from anterior margin of the eye to snout tip ,Chandramouli 2020 Trimeresurus
ES,x,esd,ESD,snout length,"distance between anteriormost point of bony orbit and tip of snout, excluding appendage",Karunarathna 2020 Ceratophora ukuwelai
ES,x,esd,ESD,snout length,measured from the anterior margin of the eye to the tip of the snout,Chandramouli 2021 Nicobar Gekko
SL,x,esd,ESD,snout length,,Edwards 2011 Diporiphora
SL,x,esd,ESD,snout length,measured from tip of snout to anterior most edge of orbit,Riyanto 2021 Cyrtodactylus hamidyi
SL,x,esd,ESD,snout length,from the tip of snout to the anterior margin of the eye,Shi 2021 Gloydius Qinghai
SnL,x,esd,ESD,snout length, from the tip of rostral to the anterior eye margins,Sumontha 2021 Trimeresurus kuiburi
SnL,x,esd,ESD,snout length,distance between the tip of the snout and anterior edge of eye,Lam 2021 Ahaetulla rufusoculara
XXX,x,esd,ESD,snout length,from anterior border of orbit to tip of snout,"Amarasinghe 2021, Hemidactylus kimbulae"
SE  ,x,esd,ESD,snout to ear (anterior margin),,Barr 2021 Oligosoma
SE,x,esd,ESD,snout to eye distance,from tip of snout to anterior-most point of eye,Do 2021 Cyrtodactylus orlovi
SE,x,esd,ESD,Snout to eye distance,from anterior margin of eye to tip of snout ,Patel 2020 Ophisops Gujarat
SE,x,esd,ESD,snout to eye distance,from tip of snout to anterior corner of eye;,Zhang 2021 Cyrtodactylus Daweishan
SE,x,esd,ESD,snout to eye distance,,Lobo?ün-Rovira 2021 Hemidactylus Angola
SE,x,esd,ESD,snout to eye distance,from tip of snout to anterior corner of eye orbit,Liu 2021 Cyrtodactylus Western Yunnan
SE,x,esd,ESD,snout to eye distance,from tip of snout to anterior corner of eye orbit,Liu 2021 Cyrtodactylus Southern Yunnan
SE,x,esd,ESD,snout to eye distance,,Khandekar 2021 Hemiphyllodactylus goaensis
SnOrb,x,esd,ESD,snout to eye distance,from the tip of the snout to the anteriormost margin of the orbit,Pauwels 2021 Dixonius_mekongensis
SnOrb,x,esd,ESD,snout to eye distance,from the tip of the snout to the anteriormost margin of the orbit,Meesook 2021 Gekko_pradapdao
SnEye,x,esd,ESD,snout-eye distance,from anteriormost margin of the eyeball to the tip of snout,Do 2021 Hemiphyllodactylus dalatensis
SnEye,x,esd,ESD,snout-eye length,measured from anterior-most margin of the eyeball to the tip of snout,Agung 2021 Hemiphyllodactylus
SEL,x,esd,ESD,Snout–eye length,from snout tip to anterior margin of eye,Wagner 2021 Acanthocercus margaritae
EL,,ESLEL,ESLEL,No. of enlarged scales on the lower eyelid," forming the palpebral disks, average of left and right side",Pizzigalli 2021 Mesalina olivieri.pdf
FEL,,fel,FEL,femur length,distance between groin and knee,Karunarathna 2020 Ceratophora ukuwelai
FL,x,fel,FEL,Femur length,,Wagner 2021 Acanthocercus margaritae
LFO,x,fel,FEL,Length of femur,from hip joint to top of knee ,Patel 2020 Ophisops Gujarat
M,x,fel,FEL,length of the thigh,,Ubalde 2021 Liolaemus Peru
FEL,x,fel,FEL,thigh length,measured from the point of insertion of the hind limb on the trunk to the knee,Chandramouli 2021 Nicobar Gekko
XXX,x,fel,FEL,thigh length,from the anterior margin of the hind limb at its insertion point on the body to the knee while flexed ,"Amarasinghe 2021, Hemidactylus kimbulae"
ArL,x,fll,FLL,arm length,,Edwards 2011 Diporiphora
FLL,x,fll,FLL,Fore limb length,,Kurnaz 2021 Acanthodactylus Turkey
ArmL,x,fll,FLL,forearm length,taken on dorsal surface of posterior margin of elbow while flexed at 90o to inflection of dorsally flexed wrist,Riyanto 2021 Cyrtodactylus hamidyi
FA,x,fll,FLL,Forearm length,distance between palm and elbow,Nguyen 2021 Dixonius somchanhae
FAL,x,fll,FLL,forearm length,taken on the dorsal surface from the posterior margin of the elbow while flexed 90° to the inflection of the flexed wrist,Pauwels 2021 Dixonius_mekongensis
FAL,x,fll,FLL,forearm length,taken on the dorsal surface from the posterior margin of the elbow while flexed 90° to the inflection of the flexed wrist,Meesook 2021 Gekko_pradapdao
FL,x,fll,FLL,Forearm length,from elbow to distal end of wrist,Patel 2020 Ophisops Gujarat
FL,x,fll,FLL,forearm length,,Purkayastha 2021 Cyrtodactylus northeast India
FL,x,fll,FLL,forearm length,,Lobo?ün-Rovira 2021 Hemidactylus Angola
FL,x,fll,FLL,forearm length,from the base of the palm to the elbow,Liu 2021 Cyrtodactylus Western Yunnan
fL,x,fll,FLL,forearm length,,Khandekar 2021 Hemiphyllodactylus goaensis
FL,x,fll,FLL,forearm length,,Khandekar 2021 Hemidactylus tamhiniensis
FL,x,fll,FLL,forearm length,,Kamei 2021 Cyrtodactylus bapme
FL,x,fll,FLL,forearm length,,Khandekar 2021 Cnemaspis uttaraghati
FL,x,fll,FLL,forearm length,,Agarwal 2021 Cnemaspis krishnagiriensis
ForeaL,x,fll,FLL,forearm length,from base of palm to tip of elbow,Do 2021 Cyrtodactylus orlovi
ForeaL,x,fll,FLL,forearm length,from the base of the palm to the elbow,Liu 2021 Cyrtodactylus Southern Yunnan
LAL,x,fll,FLL,forearm length,distance from elbow to wrist with both upper arm and palm fexed at 90,Karunarathna 2020 Ceratophora ukuwelai
XXX,x,fll,FLL,forearm length,on the dorsal surface from the posterior margin of the elbow while flexed to the inflection of the flexed wrist,"Amarasinghe 2021, Hemidactylus kimbulae"
FL,x,fll,FLL,forelimb length,,Ribeiro_Junior 2020 Alopoglossus theodorusi
FL,x,fll,FLL,forelimb length,,Ribeiro-Ju?ünior 2021 Alopoglossus
FLL,x,fll,FLL,forelimb length,from the axilla to the tip of the fourth finger including nail,Barr 2021 Oligosoma
FLL,x,fll,FLL,forelimb length,from limb insertion to tip of fourth finger,Torres-Carvajal 2021 new Microtegu
LFL,x,fll,FLL,Length of forelimb,from top of shoulder joint to tip of 4th finger ,Patel 2020 Ophisops Gujarat
LB,x,fll,FLL,length of the arm,check definition,Ubalde 2021 Liolaemus Peru
LFL,x,fll,FLL,length of the forelimb,from the elbow to the wrist,Parrinha 2021 Pedioplanis Angola
LAL,x,fll,FLL,lower arm length,measured from the elbow to the wrist,Chandramouli 2021 Nicobar Gekko
FL,,fol,FOL,foot length,from the tip of four toe to ankle,Fernández 2021 Liolaemus robertmertensi
FOL,x,fol,FOL,foot length,,Chandramouli 2021 Nicobar Gekko
XXX,x,fol,FOL,foot length,from heel to tip of longest toe,"Amarasinghe 2021, Hemidactylus kimbulae"
FB ,,fp,FP,femoral pores,,Do 2021 Cyrtodactylus orlovi
FemPo,x,fp,FP,femoral pores,,Pauwels 2021 Dixonius_mekongensis
FemPo,x,fp,FP,femoral pores,,Meesook 2021 Gekko_pradapdao
FP,x,fp,FP,femoral pores,,Liu 2021 Cyrtodactylus Southern Yunnan
fP,x,fp,FP,femoral pores,,Khandekar 2021 Hemiphyllodactylus goaensis
fP,x,fp,FP,femoral pores,,Khandekar 2021 Hemiphyllodactylus goaensis
FP,x,fp,FP,femoral pores,,Khandekar 2021 Hemidactylus tamhiniensis
FP,x,fp,FP,femoral pores,a series of pore-bearing scales on the thighs that are separated from a PcP/PcFP series by a diastema of non-pore-bearing scales,Kamei 2021 Cyrtodactylus bapme
FP,x,fp,FP,femoral pores,,Khandekar 2021 Cnemaspis uttaraghati
FP ,x,fp,FP,femoral pores,,Agarwal 2021 Cnemaspis krishnagiriensis
Pores,x,fp,FP,femoral pores,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Pores,x,fp,FP,femoral pores,,Ribeiro-Ju?ünior 2021 Alopoglossus
Pf (Dx and Sx),x,fp,FP,femoral pores ,on the right and left sides,Pizzigalli 2021 Mesalina olivieri.pdf
FP,x,fp,FP,number of femoral pores,,Parrinha 2021 Pedioplanis Angola
R/L NFP,x,fp,FP,Number of femoral pores,,Patel 2020 Ophisops Gujarat
PP,x,fp,FP,numbers of continuous precloacal-femoral pores,females with pitted scales,Zhang 2021 Cyrtodactylus Daweishan
RFP & LFP,x,fp,FP,right and left femoral pore number,total or left vs. right,Edwards 2011 Diporiphora
RPP & LPP,x,fp,FP,right and left preanal pore number,total or left vs. right,Edwards 2011 Diporiphora
Fr,,Fr,FR,frenocular,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Fr,x,fr,FR,frenocular,,Ribeiro-Ju?ünior 2021 Alopoglossus
FRONT,,FRONT,FRONT,Fragmentation of the frontal plate (partial / total),add other states of frontal,Marti?ünez-Freiri?üa 2021 Vipera latastei
FS,,fs,FS,Flank scales smooth,"feebly keeled, keeled",Wagner 2021 Acanthocercus margaritae
FW,,fw,FW,minimum frontal width,???,Purkayastha 2021 Cyrtodactylus northeast India
FW,x,fw,FW,minimum frontal width,???,Kamei 2021 Cyrtodactylus bapme
GrRows,,GrRows,GRROWS,rows of small granules between supraoculars and supraciliaries,,Parrinha 2021 Pedioplanis Angola
GrSO,,GrSO,GRSO,number of small granules anterior to the supraoculars,,Parrinha 2021 Pedioplanis Angola
GS,,gs,GS,gular scales,in a straight median series including collar,Patel 2020 Ophisops Gujarat
XXX,x,gs,GS,gular scales,,Fernández 2021 Liolaemus robertmertensi
G,x,gs,GS,gular scales ,in one straight line from the collar to the infralabials (collar included),Pizzigalli 2021 Mesalina olivieri.pdf
G,x,gs,GS,gulars,counted between the interbrachial and mental plates,Ribeiro_Junior 2020 Alopoglossus theodorusi
G,x,gs,GS,gulars,counted between the interbrachial and mental plates,Ribeiro-Ju?ünior 2021 Alopoglossus
GS,x,gs,GS,number of gular scales,,Parrinha 2021 Pedioplanis Angola
GS,x,gs*,GS*,Gular scales smooth,"feebly keeled, keeled",Wagner 2021 Acanthocercus margaritae
GST,,gst,GST,granular scales,surrounding dorsal tubercles                                ,Do 2021 Cyrtodactylus orlovi
GSDT,x,gst,GST,granular scales surrounding dorsal midbody tubercles,,Liu 2021 Cyrtodactylus Southern Yunnan
GST,x,gst,GST,granular scales surrounding dorsal tubercles,,Zhang 2021 Cyrtodactylus Daweishan
HEL,,heel,HEEL,heel length,from wrist to tip of fourth fnger,Karunarathna 2020 Ceratophora ukuwelai
HD,,hh,HH,head depth,,Edwards 2011 Diporiphora
HD,x,hh,HH,head depth,"maximum height of head, across eyes",Karunarathna 2020 Ceratophora ukuwelai
HD,x,hh,HH,Head depth,"maximum height of head, from occiput to throat",Nguyen 2021 Dixonius somchanhae
HD,x,hh,HH,head depth,at the highest point dorsoventrally,Ribeiro_Junior 2020 Alopoglossus theodorusi
HD,x,hh,HH,head depth,the deepest part of the head in lateral view,Shi 2021 Gloydius Qinghai
HD,x,hh,HH,head depth,at the highest point dorsoventrally,Ribeiro-Ju?ünior 2021 Alopoglossus
HD,x,hh,HH,head depth,the maximum depth of head from the occiput to the throat,Pauwels 2021 Dixonius_mekongensis
HD,x,hh,HH,head depth,,Khandekar 2021 Hemidactylus tamhiniensis
HD,x,hh,HH,head depth,,Khandekar 2021 Cnemaspis uttaraghati
HD,x,hh,HH,head depth,"measured from the top of the head to the throat, at the level of the eyeball",Chandramouli 2021 Nicobar Gekko
HD,x,hh,HH,head depth,,Agarwal 2021 Cnemaspis krishnagiriensis
HeadD,x,hh,HH,head depth,the maximum depth of head from the occiput to the throat,Meesook 2021 Gekko_pradapdao
XXX,x,hh,HH,head depth,"height; maximum height of the head, from the occiput to the underside of the jaws ","Amarasinghe 2021, Hemidactylus kimbulae"
HC,x,hh,HH,head height,compare definitions,Ubalde 2021 Liolaemus Peru
HH,x,hh,HH,head height,,Peng 2021 Gonyosoma Hainan
HH,x,hh,HH,head height,,Fernández 2021 Liolaemus robertmertensi
HH,x,hh,HH,head height,from occiput to underside of jaws,Do 2021 Cyrtodactylus orlovi
HH,x,hh,HH,Head height,from upper surface of head to lower surface of chin,Kurnaz 2021 Acanthodactylus Turkey
HH,x,hh,HH,Head height,maximum distance between upper head and lower jaw ,Patel 2020 Ophisops Gujarat
HH,x,hh,HH,head height,from top of skull to underside of jaws;,Zhang 2021 Cyrtodactylus Daweishan
HH,x,hh,HH,Head height,maximum head height at angle of jaw,Wagner 2021 Acanthocercus margaritae
HH,x,hh,HH,head height,maximum height of head between occiput and throat,Riyanto 2021 Cyrtodactylus hamidyi
HH,x,hh,HH,Head height,,Pizzigalli 2021 Mesalina olivieri.pdf
HH,x,hh,HH,Head height,,Marti?ünez-Freiri?üa 2021 Vipera latastei
HH,x,hh,HH,head height,,Lobo?ün-Rovira 2021 Hemidactylus Angola
HH,x,hh,HH,head height,,Khandekar 2021 Hemiphyllodactylus goaensis
HH,x,hh,HH,head height,"vertical height between dorsal and ventral surfaces of head, measured at HW",Lam 2021 Ahaetulla rufusoculara
HH,x,hh,HH,head-height,from occiput to underside of jaws,Liu 2021 Cyrtodactylus Western Yunnan
HD,x,hh,HH,maximum head depth,,Torres-Carvajal 2021 new Microtegu
HD,x,hh,HH,maximum head depth,,Sumontha 2021 Trimeresurus kuiburi
HD,x,hh,HH,maximum head depth,,Purkayastha 2021 Cyrtodactylus northeast India
HD,x,hh,HH,maximum head depth,,Kamei 2021 Cyrtodactylus bapme
HD  ,x,hh,HH,maximum head depth,,Chandramouli 2020 Trimeresurus
HH,x,hh,HH,maximum head height,from occiput to underside of jaws,Liu 2021 Cyrtodactylus Southern Yunnan
HeadL,x,hl,HL,head length,from the posterior margin of the retroarticular process of the lower jaw to the tip of the snout,Do 2021 Hemiphyllodactylus dalatensis
HeadL,,hl,HL,head length,from the posterior margin of the retroarticular process of the lower jaw to the tip of the snout,Meesook 2021 Gekko_pradapdao
HL,x,hl,HL,head length,distance between posterior edge of mandible and tip of snout ,Amarasinghe 2021 Oligodon tolaki
HL,x,hl,HL,head length,from tip of snout to posterior extremity of the interparietal,Barr 2021 Oligosoma
HL,x,hl,HL,head length,measured from the snout tip to the jaw angle ,Chandramouli 2020 Trimeresurus
HL,x,hl,HL,head length,from tip of snout to retroarticular process of jaw,Do 2021 Cyrtodactylus orlovi
HL,x,hl,HL,head length,,Edwards 2011 Diporiphora
HL,x,hl,HL,head length,from tip of snout to posterior edge of auditory meatus,Fernández 2021 Liolaemus robertmertensi
HL,x,hl,HL,head length,distance between posterior edge of mandible and tip of snout,Karunarathna 2020 Ceratophora ukuwelai
HL,x,hl,HL,Head length,from tip of snout to posterior edge of tympanum,Kurnaz 2021 Acanthodactylus Turkey
HL,x,hl,HL,Head length,distance between posterior edge of last supralabial and tip of snout,Nguyen 2021 Dixonius somchanhae
HL,x,hl,HL,Head length,from tip of snout to the posterior edge of tympanum ,Patel 2020 Ophisops Gujarat
HL,x,hl,HL,head length,from the anterior margin of tympanic aperture to the tip of snout,Ribeiro_Junior 2020 Alopoglossus theodorusi
HL,x,hl,HL,head length,from anterior border of tympanum to tip of snout,Torres-Carvajal 2021 new Microtegu
HL,x,hl,HL,head length,,Zhang 2021 Cyrtodactylus Daweishan
HL,x,hl,HL,Head length,from tip of snout to angle of jaw,Wagner 2021 Acanthocercus margaritae
HL,x,hl,HL,head length, from the tip of rostral to the posterior end of the jaw,Sumontha 2021 Trimeresurus kuiburi
Hl,x,hl,HL,head length,,Trevine 2021 Thamnodynastes silvai
HL,x,hl,HL,head length,distance from tip of snout to posterior edge of retroarticular process of lower jaw,Riyanto 2021 Cyrtodactylus hamidyi
HL,x,hl,HL,head length,from the tip of snout to the posterior margin of mandible,Shi 2021 Gloydius Qinghai
HL,x,hl,HL,head length,from the anterior margin of tympanic aperture to the tip of snout,Ribeiro-Ju?ünior 2021 Alopoglossus
HL,x,hl,HL,head length,from tip of snout to posterior margin of the mandible,Qi 2021 Elaphe xiphodonata
HL,x,hl,HL,head length, from the snout tip to the retroarticular process of the jaw,Purkayastha 2021 Cyrtodactylus northeast India
HL,x,hl,HL,Head length,,Pizzigalli 2021 Mesalina olivieri.pdf
HL,x,hl,HL,head length,posterior edge of jaw to tip of snout,Peng 2021 Gonyosoma Hainan
HL,x,hl,HL,head length,from the posterior margin of the retroarticular process of the lower jaw to the tip of the snout,Pauwels 2021 Dixonius_mekongensis
HL,x,hl,HL,Head length,,Marti?ünez-Freiri?üa 2021 Vipera latastei
HL,x,hl,HL,head length,from the anterior edge of the occipital scale to the tip of the snout,Parrinha 2021 Pedioplanis Angola
HL,x,hl,HL,head length,from tip of snout to posterior margin of jaw,Liu 2021 Cyrtodactylus Western Yunnan
HL,x,hl,HL,head length,from tip of snout to posterior margin of ear,Liu 2021 Cyrtodactylus Southern Yunnan
HL,x,hl,HL,head length,,Khandekar 2021 Hemiphyllodactylus goaensis
HL,x,hl,HL,head length,,Khandekar 2021 Hemidactylus tamhiniensis
HL,x,hl,HL,head length,measured from the tip of the snout to the posterior margin of the mandible,Lam 2021 Ahaetulla rufusoculara
HL,x,hl,HL,head length,,Hamdan 2015 Chironius flavolineatus brazili
HL,x,hl,HL,head length,,Khandekar 2021 Cnemaspis uttaraghati
HL,x,hl,HL,head length,,Echevarri?üa 2021 Selvasaura
HL,x,hl,HL,head length,measured from the snout tip to the angle of the jaw,Chandramouli 2021 Nicobar Gekko
HL,x,hl,HL,head length,,Agarwal 2021 Cnemaspis krishnagiriensis
HL,x,hl,HL,head length,measured from the posterior margin of the retroarticular process of the lower jaw to the tip of the snout,Agung 2021 Hemiphyllodactylus
HL,x,hl,HL,head length,,Lobo?ün-Rovira 2021 Hemidactylus Angola
XXX,x,hl,HL,head length,from posterior edge of mandible to tip of snout,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,x,hl,HL,head length,from the anterior border of the tympanum to the center of the rostral scale,Harvey 2021 Gonocephalus Sumatra
HL,x,hl,HL,head length ,from the snout tip to the retroarticular process of the jaw,Kamei 2021 Cyrtodactylus bapme
LC,x,hl,HL,length of the head,,Ubalde 2021 Liolaemus Peru
PL,x,hl,HL,Pileus length,tip of snout to posterior margins of parietals,Kurnaz 2021 Acanthodactylus Turkey
HLL,,hll,HLL,Hind limb length,,Kurnaz 2021 Acanthodactylus Turkey
HLL ,x,hll,HLL,hind limb length,,Ribeiro_Junior 2020 Alopoglossus theodorusi
HLL,x,hll,HLL,hindlimb length,from the groin to the tip of the fourth toe including nail,Barr 2021 Oligosoma
HLL,x,hll,HLL,hindlimb length,from limb insertion to tip of fourth toe,Torres-Carvajal 2021 new Microtegu
HLL,x,hll,HLL,hindlimb length,,Ribeiro-Ju?ünior 2021 Alopoglossus
LgL,x,hll,HLL,leg length,check definition,Edwards 2011 Diporiphora
LHL,x,hll,HLL,Length of hindlimb,from hip joint to tip of 4th toe ,Patel 2020 Ophisops Gujarat
LHL,x,hll,HLL,length of the hindlimb,measured from knee to heel,Parrinha 2021 Pedioplanis Angola
hTy,,hty,HTY,auditory meatus height,,Ubalde 2021 Liolaemus Peru
XXX,,hul,HUL,brachium length,on the dorsal surface from the axilla to the inflection of the flexed elbow,"Amarasinghe 2021, Hemidactylus kimbulae"
HUL,x,hul,HUL,Humerus length,"(compare to ""brachium length"")",Wagner 2021 Acanthocercus margaritae
UAL,x,hul,HUL,upper arm length,measured from the axilla to the elbow,Chandramouli 2021 Nicobar Gekko
UAL,x,hul,HUL,upper arm length,distance between axilla and angle of elbow at 90°,Karunarathna 2020 Ceratophora ukuwelai
A,,hw,HW,anal plate(s),,Sumontha 2021 Trimeresurus kuiburi
AC,x,hw,HW,head width,,Ubalde 2021 Liolaemus Peru
HeadW,x,hw,HW,head width,mmeasured at the angle of the jaws,Do 2021 Hemiphyllodactylus dalatensis
HeadW,x,hw,HW,head width,measured at the angle of the jaws,Meesook 2021 Gekko_pradapdao
HW,x,hw,HW,head width,,Khandekar 2021 Hemidactylus tamhiniensis
HW,x,hw,HW,head width,maximum width of head ,Amarasinghe 2021 Oligodon tolaki
HW,x,hw,HW,head width,between the lateral edges of the left and right parietals,Barr 2021 Oligosoma
HW,x,hw,HW,head width,at the level of the eyes,Chandramouli 2020 Trimeresurus
Hw,x,hw,HW,head width,maximum width of head,Do 2021 Cyrtodactylus orlovi
HW,x,hw,HW,head width,,Edwards 2011 Diporiphora
HW,x,hw,HW,head width,from the temporal regions,Fernández 2021 Liolaemus robertmertensi
HW,x,hw,HW,head width,maximum width of head,Karunarathna 2020 Ceratophora ukuwelai
HW,x,hw,HW,Head width,at the widest point of head,Kurnaz 2021 Acanthodactylus Turkey
HW,x,hw,HW,Head width,measured at angle of jaws,Nguyen 2021 Dixonius somchanhae
HW,x,hw,HW,Head width,distance between posterior eye corners,Patel 2020 Ophisops Gujarat
HW,x,hw,HW,head width,at the widest point,Ribeiro_Junior 2020 Alopoglossus theodorusi
HW,x,hw,HW,head width,,Zhang 2021 Cyrtodactylus Daweishan
HW,x,hw,HW,Head width,maximum head width at the angle of jaw,Wagner 2021 Acanthocercus margaritae
HW,x,hw,HW,head width,measured a straight line at angle of jaws,Riyanto 2021 Cyrtodactylus hamidyi
HW,x,hw,HW,head width,the widest part of the head in dorsal view,Shi 2021 Gloydius Qinghai
HW,x,hw,HW,head width,at the widest point,Ribeiro-Ju?ünior 2021 Alopoglossus
HW,x,hw,HW,Head width,,Pizzigalli 2021 Mesalina olivieri.pdf
HW,x,hw,HW,head width,maximum head width,Peng 2021 Gonyosoma Hainan
HW,x,hw,HW,head width,measured at the angle of the jaws,Pauwels 2021 Dixonius_mekongensis
HW,x,hw,HW,Head width,,Marti?ünez-Freiri?üa 2021 Vipera latastei
HW,x,hw,HW,head width,"measured behind the eyes, where the head is widest",Parrinha 2021 Pedioplanis Angola
HW,x,hw,HW,head width,,Lobo?ün-Rovira 2021 Hemidactylus Angola
HW,x,hw,HW,head width,maximum width of head,Liu 2021 Cyrtodactylus Western Yunnan
HW,x,hw,HW,head width,,Khandekar 2021 Hemiphyllodactylus goaensis
HW,x,hw,HW,head width,,Hamdan 2015 Chironius flavolineatus brazili
HW,x,hw,HW,head width,,Khandekar 2021 Cnemaspis uttaraghati
HW,x,hw,HW,head width,,Echevarri?üa 2021 Selvasaura
HW,x,hw,HW,head width,measured at the widest point on the head,Chandramouli 2021 Nicobar Gekko
HW,x,hw,HW,head width,,Agarwal 2021 Cnemaspis krishnagiriensis
HW,x,hw,HW,head width,measured at the angle of the jaws,Agung 2021 Hemiphyllodactylus
XXX,x,hw,HW,head width,maximum width of head at the angle of the jaws ,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,x,hw,HW,head width,at corner of mouth,Harvey 2021 Gonocephalus Sumatra
HW,x,hw,HW,maximum head width,,Torres-Carvajal 2021 new Microtegu
HW,x,hw,HW,maximum head width,,Sumontha 2021 Trimeresurus kuiburi
HW,x,hw,HW,maximum head width,,Qi 2021 Elaphe xiphodonata
HW,x,hw,HW,maximum head width,,Purkayastha 2021 Cyrtodactylus northeast India
HW,x,hw,HW,maximum head width,,Liu 2021 Cyrtodactylus Southern Yunnan
HW,x,hw,HW,maximum head width,,Lam 2021 Ahaetulla rufusoculara
HW,x,hw,HW,maximum head width,,Kamei 2021 Cyrtodactylus bapme
PW,,hw,HW,Pileus width,at widest point between parietal plates,Kurnaz 2021 Acanthodactylus Turkey
ICS,,ics,ICS,Interciliary scales,scales between supraciliaries at midpoint of orbit,Nguyen 2021 Dixonius somchanhae
ICS,x,ics,ICS,interciliary scales,counted between supraciliaries at midpoint of orbit,Pauwels 2021 Dixonius_mekongensis
IL,x,iL,IL,infralabial,,Peng 2021 Gonyosoma Hainan
IL,x,iL,IL,infralabial scales,,Wagner 2021 Acanthocercus margaritae
IL,x,iL,IL,infralabial scales,,Sumontha 2021 Trimeresurus kuiburi
IL,x,iL,IL,infralabial scales,,Pauwels 2021 Dixonius_mekongensis
IL,x,iL,IL,infralabial scales,,Meesook 2021 Gekko_pradapdao
IL,x,iL,IL,infralabial scales,,Agung 2021 Hemiphyllodactylus
ILab ,x,iL,IL,Infralabial scales,,Ganesh 2021 Boiga whitakeri
InfL,x,iL,IL,infralabial scales,"number of labial scales of lower jaw, beginning with first scale bordering mental shield, ending with last enlarged scale bordering labial angle",Riyanto 2021 Cyrtodactylus hamidyi
Inflab,x,iL,IL,infralabial scales,the number of enlarged scales bordering the mouth on the lower jaw from the mental to a point in line with the posterior margin of the orbit,Do 2021 Hemiphyllodactylus dalatensis
XXX,x,iL,IL,infralabials,,Barr 2021 Oligosoma
IFL,x,iL,IL,infralabials,,Shi 2021 Gloydius Qinghai
IFL,x,iL,IL,infralabials,,Qi 2021 Elaphe xiphodonata
IFL,x,iL,IL,infralabials,,Li 2021 Achalinus dehuaensis
IFL,x,iL,IL,infralabials,,Liu 2021 Cyrtodactylus Southern Yunnan
IFL ,x,iL,IL,Infralabials,,Nguyen 2021 Dixonius somchanhae
Il,x,iL,IL,infralabials,,Ribeiro_Junior 2020 Alopoglossus theodorusi
IL,x,iL,IL,infralabials,,Zhang 2021 Cyrtodactylus Daweishan
IL,x,iL,IL,infralabials,,Parrinha 2021 Pedioplanis Angola
IL,x,iL,IL,infralabials,,Liu 2021 Cyrtodactylus Western Yunnan
IL,x,iL,IL,infralabials,counted on lower lips,Liu 2021 Gonyosoma
