orig.abbr.,redundant,new.abbr.,upper,TERM,DEFINITION ,ARTICLE ID 
TRL,x,agd,AGD,trunk length,axilla to groin distance,Liu 2021 Cyrtodactylus Western Yunnan
TRL,x,agd,AGD,trunk length,,Khandekar 2021 Hemiphyllodactylus goaensis
TRL,x,agd,AGD,trunk length,,Kamei 2021 Cyrtodactylus bapme
TrunkL,x,agd,AGD,trunk length,from axilla to groin measured from posterior edge of forelimb insertion to anterior edge of hindlimb insertion,Do 2021 Cyrtodactylus orlovi
TrunkL,x,agd,AGD,trunk length,from the posterior margin of the forelimb at its insertion point on the body to the anterior margin of the hind limb at its insertion point on the body,Do 2021 Hemiphyllodactylus dalatensis
TrunkL,x,agd,AGD,trunk length,taken from the posterior margin of the forelimb at its insertion point on the body to the anterior margin of the hind limb at its insertion point on the body,Agung 2021 Hemiphyllodactylus
BL,,agd alt,AGD ALT,body length,from the anterior edge of the cloaca to the collar (alternative definition),Parrinha 2021 Pedioplanis Angola
AHU,,ahu,AHU,arm width,needs definition,Ubalde 2021 Liolaemus Peru
XXX,,ap,AP,apical pits,present or absent on dorsal scales,Weinell 2020 Calamaria alcalai
PA,,apa,APA,apical pits on anterior region of the body,,Hamdan 2015 Chironius flavolineatus brazili
APIC,,APIC,APIC,Number of apical scales,,Marti?ünez-Freiri?üa 2021 Vipera latastei
AL,,apl,APL,Anal plate length,,Kurnaz 2021 Acanthodactylus Turkey
PM,,apm,APM,apical pits at midbody region of the body,,Hamdan 2015 Chironius flavolineatus brazili
PP,,app,APP,apical pits at posterior region of the body,,Hamdan 2015 Chironius flavolineatus brazili
PT,,apt,APT,apical pits at tail region of the body,,Hamdan 2015 Chironius flavolineatus brazili
AW,,apw,APW,Anal plate width,,Kurnaz 2021 Acanthodactylus Turkey
ArT,,ArT,ART,scale rows around the tail,immediately posterior to the cloaca,Ribeiro_Junior 2020 Alopoglossus theodorusi
AS,,AS,AS,"annectans-type scale present, not present",needs definition,Wagner 2021 Acanthocercus margaritae
SaA,,asr,ASR,Anterior dorsal scale rows,counted transversely behind forelimbs,Wagner 2021 Acanthocercus margaritae
ASR,x,asr,ASR,anterior dorsal scale rows at neck,number of scale rows at one head length behind the head,Lam 2021 Ahaetulla rufusoculara
ASR,x,asr,ASR,anterior number of dorsal scale rows (at one HL behindhead),,Sumontha 2021 Trimeresurus kuiburi
aTMP,x,atem,ATEM,anterior temporals,,Qi 2021 Elaphe xiphodonata
aTMP,x,atem,ATEM,anterior temporals,,Li 2021 Achalinus dehuaensis
ATP,x,atem,ATEM,anterior temporals,number of scales immediately behind postocular between SL and parietal,Lam 2021 Ahaetulla rufusoculara
XXX,x,atem,ATEM,anterior temporals,,Le 2021 Pareas southern Vietnam
Atem,x,atem,ATEM,number of anterior temporals,,Liu 2021 Gonyosoma
aTy,,aty,ATY,auditory meatus width,,Ubalde 2021 Liolaemus Peru
AUS,,AUS,AUS,Upper arms ,keeled (vs. smooth ?),Wagner 2021 Acanthocercus margaritae
BH,,bh,BH,body height,,Khandekar 2021 Hemiphyllodactylus goaensis
BH,x,bh,BH,body height,definition needed,Khandekar 2021 Hemidactylus tamhiniensis
BLAM,,blam,BLAM,basal lamellar formula,,Khandekar 2021 Hemiphyllodactylus goaensis
BS,,BS,BS,body scales,needs definition,Li 2021 Achalinus dehuaensis
BtwP,,BtwP,BTWP,granular scales between the pairs of chin shields,,Ribeiro-Ju?ünior 2021 Alopoglossus
BtwP,x,BtwP,BTWP,small or granular scales between the pairs of chin shields ,,Ribeiro_Junior 2020 Alopoglossus theodorusi
AL,,bw,BW,body width,,Ubalde 2021 Liolaemus Peru
Bw,x,bw,BW,body width,the widest distance of body ,Do 2021 Cyrtodactylus orlovi
BW,x,bw,BW,Body width,length of widest part of belly ,Patel 2020 Ophisops Gujarat
BW,x,bw,BW,Body width,"greatest width of torso, taken at level of midbody",Pauwels 2021 Dixonius_mekongensis
BW,x,bw,BW,body width,maximum width of body,Lobo?ün-Rovira 2021 Hemidactylus Angola
BW,x,bw,BW,body width,maximum width of body,Liu 2021 Cyrtodactylus Western Yunnan
BW,x,bw,BW,body width,,Khandekar 2021 Hemiphyllodactylus goaensis
BW,x,bw,BW,body width,,Khandekar 2021 Hemidactylus tamhiniensis
BW,x,bw,BW,body width,,Khandekar 2021 Cnemaspis uttaraghati
BW,x,bw,BW,body width,,Agarwal 2021 Cnemaspis krishnagiriensis
XXX,x,bw,BW,body width,maximum width of the body,"Amarasinghe 2021, Hemidactylus kimbulae"
BW ,x,bw,BW,"Body width, greatest width of torso",,Nguyen 2021 Dixonius somchanhae
BW,x,bw,BW,maximum body width,,Purkayastha 2021 Cyrtodactylus northeast India
BW,x,bw,BW,maximum body width,,Kamei 2021 Cyrtodactylus bapme
CEP,,CEP,CEP,number of cephalic scales,counted in a horizontal series between the elongated supraoculars and ventrals,Chandramouli 2020 Trimeresurus
CL,x,cl,CL,crus length,,Purkayastha 2021 Cyrtodactylus northeast India
CL,x,cl,CL,crus length,from base of heel to knee,Lobo?ün-Rovira 2021 Hemidactylus Angola
CL,x,cl,CL,crus length,from the base of heel to the knee,Liu 2021 Cyrtodactylus Western Yunnan
CL,x,cl,CL,crus length,,Khandekar 2021 Hemiphyllodactylus goaensis
CL,x,cl,CL,crus length,,Khandekar 2021 Hemidactylus tamhiniensis
CL,x,cl,CL,crus length,,Kamei 2021 Cyrtodactylus bapme
CL,x,cl,CL,crus length,,Khandekar 2021 Cnemaspis uttaraghati
CL,x,cl,CL,crus length,,Agarwal 2021 Cnemaspis krishnagiriensis
CrusL,x,cl,CL,crus length,from base of heel to knee,Do 2021 Cyrtodactylus orlovi
CrusL,x,cl,CL,Crus length,from base of heel to knee,Nguyen 2021 Dixonius somchanhae
T,x,cl,CL,length of the tibia,,Ubalde 2021 Liolaemus Peru
CL,x,cl,CL,Length of tibia,from top of knee to beneath wrist ,Patel 2020 Ophisops Gujarat
XXX,x,cl,CL,tibia (crus) length,"from the posterior surface of the knee while flexed to the base of the heel), ","Amarasinghe 2021, Hemidactylus kimbulae"
TBL,x,cl,CL,tibia length,"distance between knee and heel, with both tibia and tarsus fexed at 90° ",Karunarathna 2020 Ceratophora ukuwelai
TBL,x,cl,CL,tibia length,measured from the knee to heel,Chandramouli 2021 Nicobar Gekko
TibL,x,cl,CL,tibia length,measured on ventral surface from posterior surface from posterior surface of knee while flexed at 90o to base of the heel,Riyanto 2021 Cyrtodactylus hamidyi
TibL,x,cl,CL,tibia length,taken on the ventral surface from the posterior surface of the knee while flexed 90° to the base of heel,Pauwels 2021 Dixonius_mekongensis
TibL,x,cl,CL,tibia length,taken on the ventral surface from the posterior surface of the knee while flexed 90° to the base of heel,Meesook 2021 Gekko_pradapdao
TFL,x,cl,CL,Tibia-fibula length,,Wagner 2021 Acanthocercus margaritae
CircNa,,cn,CN,circumnasal scales,"the number of scales abutting external naris, exclusive of the rostral and first supralabial",Do 2021 Hemiphyllodactylus dalatensis
CN,x,cn,CN,circumnasal scales,thenumber of scales contacting the nares,Agung 2021 Hemiphyllodactylus
Col,,Col,COL,No. of enlarged scales forming a collar,,Pizzigalli 2021 Mesalina olivieri.pdf
CP,,CP,CP,number of collar plates,,Parrinha 2021 Pedioplanis Angola
CR,,cr,CR,Caudal ribs absent or present,,Wagner 2021 Acanthocercus margaritae
Chin,,cs,CS,chin scales,the number of scales contacting infralabials and mental on the ventral surface from the juncture of the second and third infralabials on the left side of the head to the juncture of the second and third infralabials on the right side of the head,Do 2021 Hemiphyllodactylus dalatensis
CS,x,cs,CS,chin scales,,Khandekar 2021 Hemiphyllodactylus goaensis
CS,x,cs,CS,chin shields,compare definition in geckos vs snakes,Qi 2021 Elaphe xiphodonata
CS R/L,x,cs,CS,Chin Shields,compare definition in geckos vs lacertids,Patel 2020 Ophisops Gujarat
CSL,,csl,CSL,collar-snout length,from the median collar plate to the tip of the snout,Parrinha 2021 Pedioplanis Angola
CV,,cv,CV,No. of caudal vertebrae,,Wagner 2021 Acanthocercus margaritae
FV,x,cv,CV,No. of vertebrae of the tail filament,"(definition of ""tail filament""?)",Wagner 2021 Acanthocercus margaritae
D,,d,D,dorsal scales,counted from the parietals posteriorly to the insertion of hindlimbs,Ribeiro_Junior 2020 Alopoglossus theodorusi
D,x,d,D,dorsal scales,counted from the parietals posteriorly to the insertion of hindlimbs,Ribeiro-Ju?ünior 2021 Alopoglossus
DS,x,d*,D*,dorsal scales,between occiput and thighs region,Fernández 2021 Liolaemus robertmertensi
DS,x,d*,D*,Dorsal scales,number of scales on dorsum from behind occipital to above vent ,Patel 2020 Ophisops Gujarat
D Col,,dcol,DCOL,Dorsal Colouration,,Ganesh 2021 Boiga whitakeri
DDSLL,,DDSLL,DDSLL,Dark supra-dorsolateral line  ,,Pizzigalli 2021 Mesalina olivieri.pdf
DLC,,DLC,DLC,dorso-lateral body color,,Edwards 2011 Diporiphora
DLS,,DLS,DLS,dorsolateral spine,,Edwards 2011 Diporiphora
DMS,,DMS,DMS,Dorsal matrix scales ,needs definition,Wagner 2021 Acanthocercus margaritae
DS,,ds,DS,Dorsal scales,homogeneous or heterogeneous,Wagner 2021 Acanthocercus margaritae
DSR,x,dsr,DSR,dorsal scale row numbers,"counting at one head length  behind  head,  at  midbody,  and  at  one  head  length before  vent,  respectively)",Peng 2021 Gonyosoma Hainan
DSR,x,dsr,DSR,Dorsal Scale Rows,,Ganesh 2021 Boiga whitakeri
DSR,x,dsr,DSR,dorsal scale rows,"counted at one head length behind head, at midbody, and at one head length before vent",Qi 2021 Elaphe xiphodonata
DSR,x,dsr,DSR,dorsal scale rows,,Li 2021 Achalinus dehuaensis
DSR,x,dsr,DSR,dorsal scale rows,,Liu 2021 Gonyosoma
DSRs,x,dsr,DSR,dorsal scale rows,"counted around the body from one side of ventrals to the other in three positions: at one head length behind neck, at midbody, and at one head length before cloacal plate",Amarasinghe 2021 Oligodon tolaki
SaM,x,dsr,DSR,Dorsal scale rows at midbody,counted transversely at midpoint between fore- and hind limbs,Wagner 2021 Acanthocercus margaritae
DSR,x,dsr,DSR,dorsal scale-rows near neck,midbody and near tail,Chandramouli 2020 Trimeresurus
DS,x,dsr,DSR,dorsal scales,,Shi 2021 Gloydius Qinghai
DS,x,dsr,DSR,dorsal scales,needs definition for lizards,Agung 2021 Hemiphyllodactylus
D,x,dsr,DSR,dorsal scales ,counted around midbody,Pizzigalli 2021 Mesalina olivieri.pdf
MSR,x,dsr,DSR,midbody dorsal scale rows,number of scale rows at VS/2,Lam 2021 Ahaetulla rufusoculara
DORS,x,dsr,DSR,Number of dorsal rows at midbody,,Marti?ünez-Freiri?üa 2021 Vipera latastei
DO,x,dsr,DSR,number of dorsal scale rows,,Trevine 2021 Thamnodynastes silvai
MSR,x,dsr,DSR,number of dorsal scale rows at midbody, at the level of the ventral plate corresponding to half of the total number of ventrals,Sumontha 2021 Trimeresurus kuiburi
PSR,x,dsr*,DSR*,posterior dorsal scale rows,number of scale rows at one head length prior to the vent,Lam 2021 Ahaetulla rufusoculara
SaH,x,dsr*,DSR*,Posterior dorsal scale rows,counted transversely just at anterior insertion of hind limbs,Wagner 2021 Acanthocercus margaritae
PSR,x,dsr*,DSR*,posterior number of dorsal scale rows, at one HL before anal plate,Sumontha 2021 Trimeresurus kuiburi
DTR,,dtr,DTR,dorsal tubercle rows,,Do 2021 Cyrtodactylus orlovi
DTR,x,dtr,DTR,dorsal tubercle rows,counted transversely across the body,Purkayastha 2021 Cyrtodactylus northeast India
DTR,x,dtr,DTR,dorsal tubercle rows,,Liu 2021 Cyrtodactylus Western Yunnan
DTR,x,dtr,DTR,dorsal tubercle rows,"number of dorsal, longitudinal rows of tubercles at midbody between the ventrolateral folds",Liu 2021 Cyrtodactylus Southern Yunnan
DTR,x,dtr,DTR,dorsal tubercle rows,,Khandekar 2021 Hemidactylus tamhiniensis
DTR,x,dtr,DTR,dorsal tubercle rows,counted transversely across the trunk at its widest point,Kamei 2021 Cyrtodactylus bapme
DTR,x,dtr,DTR,dorsal tubercle rows,including longitudinal rows of spine-like tubercle on lower flank ,Khandekar 2021 Cnemaspis uttaraghati
DTR,x,dtr,DTR,dorsal tubercle rows ,including longitudinal rows,Agarwal 2021 Cnemaspis krishnagiriensis
DT,x,dtr,DTR,dorsal tubercles,number of longitudinal tubercle rows on dorsum at midbody between ventrolateral folds ,Riyanto 2021 Cyrtodactylus hamidyi
DTR,x,dtr,DTR,longitudinal rows of dorsal tubercles,,Pauwels 2021 Dixonius_mekongensis
DTR ,x,dtr,DTR,Longitudinal rows of dorsal tubercles,,Nguyen 2021 Dixonius somchanhae
DTR,x,dtr,DTR,longitudinal rows of dorsal tubercles at midbody,,Meesook 2021 Gekko_pradapdao
DTR,x,dtr,DTR,tubercles at dorsum of midbody,,Zhang 2021 Cyrtodactylus Daweishan
EBL,,ebl,EBL,Black line surrounding the eyelids scales ,,Pizzigalli 2021 Mesalina olivieri.pdf
XXX,,ed,ED,eye (orbit) diameter,the greatest horizontal diameter of the orbit,"Amarasinghe 2021, Hemidactylus kimbulae"
ED,x,ed,ED,eye diameter,horizontal diameter of eye,Amarasinghe 2021 Oligodon tolaki
ED,x,ed,ED,Eye diameter,greatest diameter of orbit,Nguyen 2021 Dixonius somchanhae
